ID	adj.P.Val	P.Value	t	B	logFC	Symbol
ILMN_1697491	7.78e-05	1.60e-07	-6.264404	7.261135	-2.6170625	FLJ14213
ILMN_1689111	7.78e-05	1.63e-07	6.259989	7.247332	1.5775208	CXCL12
ILMN_1705107	7.78e-05	1.64e-07	-6.25755	7.239705	-2.3003583	SDCBP2
ILMN_2371724	8.68e-05	1.86e-07	-6.219726	7.121448	-2.3453625	CEACAM1
ILMN_1751453	9.13e-05	2.03e-07	6.194332	7.042047	3.1439917	ABCC9
ILMN_2199658	9.13e-05	2.09e-07	-6.18561	7.014774	-2.5089542	ANKS4B
ILMN_1802192	9.13e-05	2.11e-07	-6.18238	7.004677	-3.7106875	C10orf99
ILMN_1680987	9.13e-05	2.13e-07	6.178987	6.994066	4.3385833	HAND1
ILMN_2184373	9.13e-05	2.14e-07	6.178007	6.991002	3.7108667	IL8
ILMN_1712046	9.13e-05	2.14e-07	6.177208	6.988504	1.7661583	CPXM1
ILMN_2075800	9.56e-05	2.28e-07	-6.158967	6.931467	-3.0184792	PTK6
ILMN_1677814	9.56e-05	2.31e-07	-6.154736	6.918236	-2.4569292	ABCC3
ILMN_3310436	9.94e-05	2.44e-07	-6.13873	6.868186	-2.1739708	MIR567
ILMN_3270972	9.94e-05	2.47e-07	-6.134746	6.85573	-1.3878833	ASAP2
ILMN_1771084	1.04e-04	2.62e-07	-6.116843	6.799748	-1.6499583	ACSM3
ILMN_1751346	1.09e-04	2.81e-07	-6.095916	6.734315	-1.828975	ERBB3
ILMN_1811593	1.09e-04	2.82e-07	-6.095123	6.731836	-2.8236667	NIPAL1
ILMN_1790529	1.12e-04	2.94e-07	6.082561	6.692558	1.8124458	LUM
ILMN_2123415	1.13e-04	3.01e-07	-6.075696	6.671094	-1.5984	BMP8B
ILMN_1791580	1.14e-04	3.09e-07	-6.067665	6.645983	-2.9055	FXYD3
ILMN_1803219	1.14e-04	3.16e-07	-6.060257	6.622823	-2.1931417	TMC4
ILMN_1763390	1.14e-04	3.18e-07	-6.059157	6.619383	-2.4060417	ISL1
ILMN_1735578	1.14e-04	3.19e-07	-6.05806	6.615952	-2.9845417	GUCA2B
ILMN_1717052	1.15e-04	3.28e-07	-6.049436	6.588991	-2.0409875	STARD10
ILMN_2376723	1.15e-04	3.29e-07	-6.048242	6.585258	-2.0613375	CDKN2B
ILMN_3240793	1.15e-04	3.34e-07	-6.043602	6.570752	-1.3585708	OR2A4
ILMN_1726204	1.15e-04	3.36e-07	6.042417	6.567045	2.4768625	SCRG1
ILMN_2044453	1.15e-04	3.41e-07	-6.038081	6.553489	-1.9951542	LPAR5
ILMN_1653358	1.20e-04	3.59e-07	-6.022567	6.504992	-2.9920958	FUT3
ILMN_1781514	1.23e-04	3.73e-07	6.01036	6.466832	2.1031458	PCDH17
ILMN_1770424	1.23e-04	3.77e-07	6.007266	6.457159	4.2307083	DEFA5
ILMN_1696450	1.24e-04	3.83e-07	-6.003117	6.444191	-2.3563125	KLK1
ILMN_1808590	1.32e-04	4.12e-07	5.980764	6.37432	1.9794042	GUCY1A3
ILMN_1814790	1.39e-04	4.40e-07	-5.960876	6.312162	-2.0615458	SHANK2
ILMN_1804593	1.46e-04	4.67e-07	-5.94285	6.255833	-2.6360917	HEPACAM2
ILMN_1662846	1.52e-04	4.92e-07	-5.927333	6.207347	-1.9610292	GPR160
ILMN_2072357	1.52e-04	4.98e-07	-5.92389	6.196588	-1.7958583	IRF6
ILMN_1759633	1.52e-04	5.01e-07	-5.922071	6.190904	-1.6638	REPS2
ILMN_1789166	1.53e-04	5.10e-07	-5.916674	6.174041	-3.0078083	SHD
ILMN_1688780	1.53e-04	5.16e-07	5.913226	6.163268	2.2332083	S100A4
ILMN_1672908	1.55e-04	5.27e-07	5.906772	6.143106	2.8477042	TWIST1
ILMN_1809099	1.56e-04	5.36e-07	5.901826	6.127656	3.1002542	IL33
ILMN_2104356	1.59e-04	5.52e-07	5.893048	6.100234	1.78495	COL1A2
ILMN_1782538	1.60e-04	5.60e-07	5.888708	6.086676	1.5845417	VIM
ILMN_1721067	1.61e-04	5.72e-07	5.882221	6.066414	1.5668333	WISP1
ILMN_1793915	1.74e-04	6.30e-07	-5.853043	5.975288	-2.384875	MXI1
ILMN_2314169	1.74e-04	6.34e-07	5.851215	5.969582	1.7007542	PTHLH
ILMN_1752813	1.74e-04	6.35e-07	-5.850417	5.967088	-3.0873792	UGT1A6
ILMN_1812091	1.76e-04	6.47e-07	5.845004	5.950186	1.3441458	FAM20A
ILMN_2366473	1.77e-04	6.56e-07	5.840593	5.936414	2.2752	ABCC9
ILMN_1773006	1.92e-04	7.19e-07	5.813015	5.850321	2.1873875	FABP4
ILMN_2214473	1.98e-04	7.48e-07	-5.80142	5.81413	-2.3647833	ARHGEF5L
ILMN_2292592	1.99e-04	7.57e-07	-5.79773	5.802614	-1.883525	PCSK6
ILMN_1705750	1.99e-04	7.67e-07	5.793878	5.790592	2.4548708	TGM2
ILMN_2048507	2.02e-04	7.86e-07	-5.78643	5.767348	-1.9698458	KLF3
ILMN_1690923	2.04e-04	7.97e-07	-5.781993	5.753503	-2.9920333	CAPN9
ILMN_3238123	2.15e-04	8.55e-07	-5.760979	5.687941	-1.6486667	ZNF844
ILMN_1778253	2.15e-04	8.57e-07	-5.760172	5.685425	-2.3460125	SRC
ILMN_1721283	2.19e-04	8.82e-07	5.751663	5.658881	2.0216375	HSPB6
ILMN_1727532	2.19e-04	8.87e-07	5.749872	5.653295	2.0780333	OLFML3
ILMN_1774344	2.37e-04	9.66e-07	-5.724169	5.573139	-2.2786167	ABCC13
ILMN_1775587	2.40e-04	9.93e-07	-5.715939	5.547476	-2.876225	STX19
ILMN_2113333	2.40e-04	9.96e-07	-5.714895	5.544223	-2.3067083	LGALS9B
ILMN_2183856	2.43e-04	1.02e-06	-5.708704	5.524924	-1.6290542	TSPAN6
ILMN_1681462	2.51e-04	1.06e-06	5.696225	5.486023	4.043375	REG1B
ILMN_2057479	2.52e-04	1.07e-06	5.692533	5.474518	3.0981583	EGFL6
ILMN_1813350	2.59e-04	1.12e-06	-5.680089	5.435736	-2.2622625	HSD11B2
ILMN_3230508	2.59e-04	1.12e-06	5.67956	5.434088	2.0997542	NCRNA00152
ILMN_1664464	2.59e-04	1.13e-06	5.676589	5.424833	2.4909708	PTGDS
ILMN_1734897	2.59e-04	1.15e-06	-5.672737	5.41283	-2.6601625	SLC4A4
ILMN_1698756	2.59e-04	1.15e-06	-5.672152	5.411008	-2.1883292	B3GALT5
ILMN_2274306	2.62e-04	1.17e-06	5.666969	5.39486	1.6109625	NRP2
ILMN_1792072	2.63e-04	1.18e-06	-5.663531	5.384147	-1.7439	FUT4
ILMN_1751607	2.67e-04	1.21e-06	5.656655	5.36273	2.1573542	FOSB
ILMN_2148527	2.72e-04	1.25e-06	5.647529	5.334305	3.7123417	H19
ILMN_1770479	2.72e-04	1.25e-06	-5.646475	5.331022	-2.2138667	LMO7
ILMN_1746013	2.77e-04	1.28e-06	5.638569	5.306401	2.73665	SPOCK1
ILMN_3247350	2.91e-04	1.36e-06	-5.62181	5.254222	-2.4749625	CDKN2BAS
ILMN_3307868	3.04e-04	1.43e-06	5.606147	5.205468	1.8087542	CHI3L1
ILMN_2320888	3.06e-04	1.45e-06	5.602207	5.193205	1.3016458	CXCR4
ILMN_1683194	3.22e-04	1.53e-06	5.584585	5.138374	1.7672583	DCN
ILMN_1728514	3.31e-04	1.59e-06	-5.573149	5.102802	-1.4650375	BAG5
ILMN_2195914	3.31e-04	1.60e-06	-5.571821	5.098673	-2.20845	GGH
ILMN_2347145	3.36e-04	1.64e-06	5.565248	5.078229	1.4980458	DCN
ILMN_2196232	3.40e-04	1.68e-06	-5.557929	5.055471	-2.1949792	C1orf210
ILMN_2307861	3.40e-04	1.68e-06	5.557265	5.053406	1.6336167	COL6A3
ILMN_2406815	3.43e-04	1.70e-06	5.552719	5.03927	2.174125	LRRC17
ILMN_1697069	3.46e-04	1.73e-06	5.547773	5.023895	3.6198125	CSF3
ILMN_1755383	3.68e-04	1.85e-06	-5.527362	4.960454	-2.1196333	LRRC1
ILMN_1723847	3.77e-04	1.91e-06	5.518061	4.931555	2.3773625	CILP
ILMN_2073307	3.82e-04	1.95e-06	5.512224	4.913423	2.053125	IL10
ILMN_1663119	3.94e-04	2.03e-06	-5.500209	4.876102	-2.1411375	DSC2
ILMN_1790692	4.00e-04	2.07e-06	5.493902	4.856516	2.2336375	GNLY
ILMN_1710644	4.05e-04	2.11e-06	-5.488338	4.839239	-2.6499917	MARVELD3
ILMN_1695382	4.14e-04	2.17e-06	5.479156	4.810733	2.3925917	TSC22D3
ILMN_1711009	4.14e-04	2.19e-06	5.477382	4.805229	3.040925	ISLR
ILMN_1747800	4.14e-04	2.21e-06	5.474155	4.795212	2.3002458	LCNL1
ILMN_1702899	4.14e-04	2.21e-06	-5.473476	4.793104	-1.48205	PLEKHA7
ILMN_2179533	4.20e-04	2.26e-06	5.467509	4.774584	1.8188125	C4A
ILMN_1798663	4.21e-04	2.28e-06	5.464321	4.764691	1.8790917	MAB21L2
ILMN_1794552	4.21e-04	2.30e-06	5.461442	4.75576	3.2865167	GAP43
ILMN_1659984	4.21e-04	2.32e-06	-5.459712	4.75039	-2.6739958	MEP1A
ILMN_1804870	4.21e-04	2.33e-06	-5.457931	4.744865	-1.8087625	PRKG2
ILMN_2149952	4.21e-04	2.34e-06	5.457191	4.742569	2.11135	FLJ45256
ILMN_1713462	4.34e-04	2.42e-06	-5.446273	4.708698	-3.3603042	AQP8
ILMN_1788942	4.72e-04	2.65e-06	-5.419231	4.624849	-2.3467583	GGT6
ILMN_1737076	4.75e-04	2.68e-06	-5.415476	4.61321	-1.854275	HHLA2
ILMN_3246405	4.75e-04	2.71e-06	-5.412333	4.603468	-2.2354958	LOC100144604
ILMN_2359710	4.75e-04	2.71e-06	5.41187	4.602034	2.1218875	PTP4A3
ILMN_2409220	4.76e-04	2.76e-06	-5.40655	4.585549	-1.9516	HMMR
ILMN_2092933	4.76e-04	2.77e-06	5.405261	4.581554	2.1693833	ADAMTS4
ILMN_1796316	4.76e-04	2.79e-06	5.403743	4.576849	3.233025	MMP9
ILMN_1810584	4.76e-04	2.80e-06	5.40275	4.573773	1.8291208	IL1R1
ILMN_2352090	4.76e-04	2.80e-06	-5.402279	4.572315	-1.5924917	GPRC5C
ILMN_2336781	4.78e-04	2.83e-06	5.398955	4.562015	1.5365375	SOD2
ILMN_1675423	4.81e-04	2.86e-06	-5.395652	4.551782	-1.8241833	ANO7
ILMN_1742547	4.97e-04	2.98e-06	5.3835	4.514145	1.9567417	NRP1
ILMN_1695924	4.97e-04	3.00e-06	-5.381764	4.50877	-1.6658125	KLK11
ILMN_1776953	5.08e-04	3.08e-06	5.37344	4.482994	1.8239625	MYL9
ILMN_2240597	5.11e-04	3.12e-06	5.369954	4.472202	2.4722375	TCEA2
ILMN_1771841	5.17e-04	3.17e-06	5.364933	4.456659	2.8678417	FOSL1
ILMN_2199439	5.62e-04	3.46e-06	-5.337789	4.372674	-2.8015333	CA2
ILMN_1746196	5.96e-04	3.69e-06	5.318412	4.312759	2.0168417	ABCC9
ILMN_1789624	6.02e-04	3.75e-06	5.313637	4.297999	2.1427	TPM2
ILMN_1809813	6.03e-04	3.78e-06	5.311591	4.291678	2.8882083	PGF
ILMN_1750974	6.04e-04	3.80e-06	5.309295	4.28458	3.0622583	S100A9
ILMN_1783182	6.28e-04	3.98e-06	5.2952	4.241032	2.0447	FBN1
ILMN_1748970	6.28e-04	4.00e-06	-5.294069	4.237539	-1.8847083	PRR15L
ILMN_1811877	6.44e-04	4.12e-06	5.284989	4.209497	2.1796375	ANTXR1
ILMN_1814173	6.52e-04	4.19e-06	-5.279743	4.193296	-1.5762042	SMARCA4
ILMN_1653871	6.62e-04	4.30e-06	5.272085	4.169656	1.7610125	NAMPT
ILMN_2078074	6.62e-04	4.30e-06	-5.271859	4.168957	-1.6868958	MUT
ILMN_1773389	6.63e-04	4.35e-06	5.26862	4.158959	2.2714208	PLTP
ILMN_1668052	6.63e-04	4.36e-06	-5.268006	4.157066	-2.6441125	FOXA2
ILMN_1769779	6.93e-04	4.58e-06	5.252904	4.110466	2.1425583	PTP4A3
ILMN_2278984	7.12e-04	4.73e-06	-5.243203	4.080543	-2.8219125	FAM55D
ILMN_1809895	7.53e-04	5.02e-06	-5.2248	4.023805	-1.7208125	FNBP1L
ILMN_1705258	7.58e-04	5.09e-06	5.220906	4.011804	2.3077542	CPZ
ILMN_1746393	7.60e-04	5.12e-06	-5.218794	4.005297	-1.4507375	TSEN2
ILMN_1778964	7.86e-04	5.32e-06	-5.207086	3.969226	-1.6921125	CLIC5
ILMN_2413833	7.99e-04	5.48e-06	-5.198024	3.941319	-1.8665167	TOX3
ILMN_1705297	7.99e-04	5.49e-06	5.197644	3.940146	1.5246458	MYBPH
ILMN_1783247	7.99e-04	5.49e-06	5.197479	3.939639	1.4129	C10orf11
ILMN_3241941	8.12e-04	5.62e-06	5.190636	3.91857	2.041825	SCARNA2
ILMN_1698677	8.12e-04	5.64e-06	5.189632	3.915481	1.6331917	C4orf27
ILMN_1794074	8.13e-04	5.67e-06	-5.187664	3.909422	-2.2532333	MXI1
ILMN_3249715	8.22e-04	5.76e-06	-5.182792	3.894426	-1.4610208	LOC729609
ILMN_1679501	8.24e-04	5.81e-06	-5.180372	3.886979	-1.6508917	CSNK2A1
ILMN_1810420	8.30e-04	5.88e-06	5.176825	3.876065	2.9635583	DYSF
ILMN_1766914	8.35e-04	5.94e-06	5.17353	3.865926	1.516325	MFAP4
ILMN_1651496	8.42e-04	6.02e-06	-5.169386	3.853178	-2.3712833	HIST1H2BD
ILMN_1762899	8.47e-04	6.08e-06	5.166421	3.844059	1.8158875	EGR1
ILMN_2253145	8.52e-04	6.19e-06	-5.161054	3.827551	-1.7178958	NEK3
ILMN_1722869	8.52e-04	6.19e-06	-5.16093	3.827168	-2.2234208	PDZD3
ILMN_1720496	8.52e-04	6.21e-06	5.159995	3.824293	2.1911083	GUCY1A2
ILMN_1665372	8.52e-04	6.24e-06	-5.158701	3.820316	-2.7970917	FXYD3
ILMN_1719254	8.52e-04	6.27e-06	5.157295	3.815991	2.1066875	TRIM9
ILMN_2245087	8.83e-04	6.53e-06	5.144514	3.776701	2.0530292	MFAP2
ILMN_2382679	8.83e-04	6.57e-06	5.142809	3.771462	3.7676917	REG3A
ILMN_1726266	8.83e-04	6.59e-06	5.141785	3.768314	2.5947667	ADAM12
ILMN_1749327	8.83e-04	6.61e-06	-5.140786	3.765245	-2.1868375	MAPK13
ILMN_2329885	8.84e-04	6.65e-06	5.139021	3.759823	1.3654667	CEP170
ILMN_1712719	9.06e-04	6.85e-06	-5.130162	3.732605	-1.7148	MAP7
ILMN_1732410	9.10e-04	6.90e-06	-5.127598	3.72473	-2.5252167	SLC16A9
ILMN_1752965	9.11e-04	6.94e-06	5.125817	3.71926	2.6915	GREM1
ILMN_2400219	9.15e-04	7.02e-06	-5.122473	3.708991	-1.4569042	SRI
ILMN_1740671	9.15e-04	7.05e-06	-5.121209	3.70511	-1.8384917	ATOH1
ILMN_1708107	9.15e-04	7.07e-06	5.120475	3.702854	3.0908125	DPT
ILMN_1663716	9.15e-04	7.13e-06	-5.117613	3.694068	-1.7292208	PCDH21
ILMN_3249281	9.15e-04	7.14e-06	-5.117329	3.693195	-2.9504458	HOXA11AS
ILMN_2412139	9.15e-04	7.17e-06	5.116175	3.689652	1.2757792	CABYR
ILMN_3307906	9.79e-04	7.70e-06	5.094346	3.622664	1.6162833	PALMD
ILMN_1787526	9.82e-04	7.77e-06	-5.091538	3.614052	-1.3382542	MGC13057
ILMN_1712959	9.82e-04	7.79e-06	5.09063	3.611268	2.2453542	DUSP2
ILMN_2293529	9.97e-04	7.94e-06	-5.084772	3.593301	-1.5102833	AKAP7
ILMN_1792014	1.02e-03	8.17e-06	5.07625	3.567175	1.3711125	FAM70B
ILMN_1751757	1.02e-03	8.22e-06	-5.074108	3.560611	-1.5675333	CES3
ILMN_1671250	1.03e-03	8.27e-06	5.072326	3.555149	1.876875	CLIC4
ILMN_2161577	1.03e-03	8.33e-06	5.07019	3.548604	2.5121167	CXCL6
ILMN_2171481	1.04e-03	8.50e-06	-5.064101	3.529947	-3.19685	FAM55A
ILMN_1756550	1.04e-03	8.50e-06	-5.063967	3.529534	-1.6964167	NUP62CL
ILMN_1774330	1.04e-03	8.54e-06	-5.062533	3.525141	-1.4352083	WSCD1
ILMN_1714805	1.04e-03	8.55e-06	-5.062136	3.523927	-1.6530792	ZC3H14
ILMN_2112580	1.04e-03	8.57e-06	5.061594	3.522265	2.4485292	FCGR3A
ILMN_1810172	1.04e-03	8.66e-06	5.058239	3.511988	2.9319083	SFRP4
ILMN_1811370	1.05e-03	8.75e-06	5.055025	3.502144	1.2400292	HSD11B1
ILMN_1753005	1.05e-03	8.83e-06	5.052347	3.493942	1.2379958	RELN
ILMN_1701967	1.05e-03	8.84e-06	5.052019	3.492938	2.9545042	SHC1
ILMN_1769503	1.07e-03	9.00e-06	-5.046463	3.475928	-1.7759208	ZNRF2
ILMN_2410145	1.07e-03	9.13e-06	5.041973	3.462182	1.9820667	NR4A1
ILMN_1809483	1.07e-03	9.17e-06	5.040817	3.458643	1.1645292	HSD17B14
ILMN_3249244	1.07e-03	9.18e-06	5.040347	3.457204	1.5847167	TMEM106A
ILMN_3194508	1.08e-03	9.26e-06	-5.03783	3.4495	-2.0499458	ASAP2
ILMN_2192245	1.10e-03	9.48e-06	5.03067	3.427593	1.8896958	PLN
ILMN_1724994	1.11e-03	9.60e-06	5.026583	3.415089	1.547	COL4A2
ILMN_2117508	1.12e-03	9.68e-06	5.023965	3.407081	1.8014542	CTHRC1
ILMN_1720452	1.12e-03	9.78e-06	-5.020863	3.397594	-1.4805542	LONRF3
ILMN_3242038	1.12e-03	9.79e-06	5.020526	3.396564	1.387825	GPX8
ILMN_1657870	1.12e-03	9.86e-06	5.018474	3.390289	2.4376625	ABL2
ILMN_1724832	1.15e-03	1.01e-05	-5.009926	3.364154	-2.0771958	OVOL2
ILMN_1755414	1.15e-03	1.02e-05	-5.009536	3.362963	-3.0367875	C12orf36
ILMN_2074477	1.15e-03	1.02e-05	5.008041	3.358392	2.3537833	GPR4
ILMN_1796685	1.16e-03	1.03e-05	-5.004257	3.346828	-2.4608792	BEST4
ILMN_2060145	1.16e-03	1.04e-05	-5.002798	3.342368	-2.288725	GRHL2
ILMN_1712082	1.16e-03	1.04e-05	-5.001598	3.338704	-2.6533083	GCNT3
ILMN_1684278	1.16e-03	1.04e-05	5.001216	3.337536	2.1124042	SNORD38A
ILMN_1754969	1.16e-03	1.05e-05	4.999278	3.331615	1.754975	LMCD1
ILMN_1711451	1.16e-03	1.05e-05	4.998345	3.328762	1.7792125	SLC7A2
ILMN_1676248	1.16e-03	1.06e-05	-4.99699	3.324625	-1.76385	SEMA4G
ILMN_1768812	1.16e-03	1.06e-05	4.995941	3.321418	2.0580792	FXYD6
ILMN_2278686	1.16e-03	1.07e-05	-4.994661	3.317511	-1.5397917	HISPPD2A
ILMN_1785404	1.18e-03	1.09e-05	-4.987358	3.295205	-2.06525	FGFBP1
ILMN_1669114	1.24e-03	1.14e-05	-4.972645	3.250291	-2.5162458	WNK4
ILMN_1680948	1.24e-03	1.15e-05	4.970706	3.244373	1.8483083	LMOD1
ILMN_1771467	1.24e-03	1.15e-05	-4.969899	3.24191	-2.9602542	TMIGD1
ILMN_3236102	1.28e-03	1.21e-05	4.95563	3.198387	2.1378333	RNU5D
ILMN_1699357	1.28e-03	1.21e-05	-4.95481	3.195887	-2.1651208	SLC22A5
ILMN_2218208	1.28e-03	1.21e-05	4.954611	3.195278	1.5000917	SPARCL1
ILMN_1679115	1.28e-03	1.22e-05	-4.953947	3.193254	-1.6609292	TPH1
ILMN_1656186	1.28e-03	1.22e-05	4.953237	3.191088	1.8494792	SLC41A1
ILMN_1655788	1.28e-03	1.22e-05	-4.952338	3.188349	-1.3727458	ZNF780A
ILMN_1675062	1.28e-03	1.24e-05	4.949105	3.178491	1.619825	MYL9
ILMN_1763344	1.28e-03	1.24e-05	4.948618	3.177008	2.4754167	ADCYAP1
ILMN_1747344	1.28e-03	1.24e-05	4.948211	3.175768	1.3488583	IL3RA
ILMN_1702241	1.28e-03	1.24e-05	4.947924	3.174891	2.1501458	FLJ45445
ILMN_2281502	1.28e-03	1.24e-05	-4.947832	3.174612	-1.8457125	DHRS9
ILMN_1752451	1.28e-03	1.24e-05	4.946987	3.172034	2.30115	CTSH
ILMN_2219867	1.30e-03	1.28e-05	-4.938724	3.146854	-2.2460833	KRT20
ILMN_1654319	1.30e-03	1.28e-05	4.938687	3.146743	2.5331875	HAPLN3
ILMN_1725519	1.30e-03	1.28e-05	4.938173	3.145175	2.6480417	CCL11
ILMN_1659202	1.32e-03	1.30e-05	-4.933754	3.131713	-2.4709042	B3GALT1
ILMN_1769782	1.32e-03	1.31e-05	4.932156	3.126844	2.5127042	LAX1
ILMN_1718001	1.32e-03	1.31e-05	-4.930164	3.120777	-1.4106625	PHKB
ILMN_2083567	1.35e-03	1.34e-05	-4.923636	3.100899	-1.8522	PHLPP2
ILMN_1815690	1.37e-03	1.37e-05	4.917398	3.081908	1.8241667	TIE1
ILMN_1703075	1.38e-03	1.39e-05	-4.913651	3.070503	-3.09175	PYY
ILMN_2142185	1.40e-03	1.41e-05	4.908805	3.055759	1.6236208	CLEC14A
ILMN_1802441	1.42e-03	1.44e-05	4.902811	3.037523	3.3173583	REG1A
ILMN_1744614	1.42e-03	1.44e-05	-4.902372	3.036188	-1.9597625	PLEKHG6
ILMN_1662795	1.43e-03	1.45e-05	-4.899147	3.02638	-2.8810417	CA2
ILMN_1803338	1.43e-03	1.46e-05	4.898441	3.024233	2.2735542	CCDC80
ILMN_1728262	1.44e-03	1.48e-05	4.893661	3.009698	2.3713792	SAA2
ILMN_3239272	1.45e-03	1.49e-05	4.890685	3.000653	1.5972917	SNORD71
ILMN_1736527	1.45e-03	1.50e-05	-4.889509	2.997078	-2.28395	TFCP2L1
ILMN_1702633	1.45e-03	1.51e-05	-4.887968	2.992393	-1.8228167	RETSAT
