ID	adj.P.Val	P.Value	t	B	logFC	GeneSymbol
10139_at	0.0058037	7.98e-06	-4.8788473	3.50271	-0.29426932	ARFRP1
5125_at	0.0060378	8.81e-06	-4.8514866	3.41288	-0.34272423	PCSK5
6036_at	0.0060378	9.01e-06	4.8454864	3.39321	1.17247044	RNASE2
4205_at	0.0060378	9.04e-06	4.8445097	3.39001	0.60931508	MEF2A
574432_at	0.0060378	9.36e-06	-4.8348859	3.35848	-0.41212163	IBA57-AS1
911_at	0.0060378	9.52e-06	-4.8302611	3.34334	-0.49296078	CD1C
64772_at	0.0060665	9.81e-06	-4.8219786	3.31623	-0.3462445	ENGASE
6772_at	0.0061785	1.04e-05	4.8060117	3.26403	0.6941668	STAT1
3429_at	0.0061785	1.05e-05	4.803476	3.25575	2.36174076	IFI27
91404_at	0.0062378	1.08e-05	4.7943449	3.22594	0.63341721	SESTD1
55545_at	0.0065168	1.16e-05	-4.7758956	3.16577	-0.52873258	MSX2P1
5217_at	0.0069513	1.27e-05	-4.751737	3.08713	-0.44984633	PFN2
10613_at	0.0069513	1.29e-05	4.7457119	3.06754	0.83527967	ERLIN1
51513_at	0.00746	1.42e-05	4.7201388	2.98452	0.69048618	ETV7
51191_at	0.0080117	1.56e-05	4.6929603	2.8965	1.63514872	HERC5
26249_at	0.0080117	1.59e-05	-4.6886913	2.8827	-0.4835326	KLHL3
2633_at	0.0085938	1.82e-05	4.6512251	2.76177	1.05394872	GBP1
55789_at	0.0085938	1.84e-05	4.6470238	2.74823	0.56386026	DEPDC1B
23380_at	0.0085938	1.85e-05	4.6455039	2.74334	0.63164591	SRGAP2
219743_at	0.0085938	1.87e-05	-4.6425693	2.73389	-0.28387917	TYSND1
401431_at	0.0085938	1.88e-05	-4.6419887	2.73202	-0.41157425	ATP6V0E2-AS1
22936_at	0.0095044	2.15e-05	4.6031884	2.60734	0.7418202	ELL2
2254_at	0.0095044	2.23e-05	-4.5937685	2.57714	-0.32816454	FGF9
8807_at	0.0095044	2.26e-05	4.5894807	2.5634	1.13196834	IL18RAP
3832_at	0.0095044	2.31e-05	4.5836869	2.54485	0.69239923	KIF11
3717_at	0.0095044	2.31e-05	4.583434	2.54404	0.68597389	JAK2
55332_at	0.0095044	2.33e-05	4.5811722	2.5368	0.67391261	DRAM1
4756_at	0.0095044	2.34e-05	-4.57955	2.53161	-0.54928413	NEO1
639_at	0.0107968	2.71e-05	4.5390419	2.40224	0.34871553	PRDM1
80714_at	0.0109119	2.78e-05	-4.5315304	2.37831	-0.30183068	PBX4
51665_at	0.0111826	2.91e-05	-4.5184499	2.33668	-0.24167105	ASB1
10561_at	0.0111826	2.94e-05	4.5157672	2.32815	1.82637756	IFI44
10964_at	0.0114566	3.06e-05	4.5045937	2.29264	2.16095434	IFI44L
2040_at	0.0115493	3.13e-05	4.497953	2.27156	0.88022858	STOM
27065_at	0.0115493	3.18e-05	-4.493851	2.25854	-0.33518439	NSG1
3437_at	0.012016	3.36e-05	4.4780352	2.20841	1.28276601	IFIT3
3428_at	0.012016	3.43e-05	4.4718952	2.18897	0.56554434	IFI16
355_at	0.012016	3.52e-05	4.4641917	2.16459	0.48858498	FAS
55722_at	0.012016	3.56e-05	-4.4615964	2.15639	-0.23745043	CEP72
5169_at	0.012016	3.57e-05	-4.4604082	2.15263	-0.40746958	ENPP3
139285_at	0.012016	3.74e-05	-4.4471934	2.11088	-0.31999052	AMER1
1894_at	0.012016	3.75e-05	4.4463699	2.10828	0.56239149	ECT2
4602_at	0.012016	3.77e-05	4.4450377	2.10408	0.82565412	MYB
100129503_at	0.012016	3.83e-05	-4.4407993	2.0907	-0.26595418	PP13
9020_at	0.012016	3.84e-05	-4.4395456	2.08675	-0.29233552	MAP3K14
55601_at	0.012016	3.91e-05	4.4346513	2.07131	1.31572572	DDX60
128553_at	0.012016	3.92e-05	-4.4342265	2.06997	-0.4436321	TSHZ2
890_at	0.012016	3.94e-05	4.4328463	2.06562	0.71712214	CCNA2
23641_at	0.0122698	4.07e-05	-4.4233826	2.03581	-0.26603942	LDOC1
29894_at	0.0123122	4.16e-05	-4.4172374	2.01646	-0.35497776	CPSF1
57519_at	0.0123122	4.21e-05	-4.4138342	2.00576	-0.31145774	STARD9
400961_at	0.0123122	4.27e-05	-4.4095128	1.99217	-0.47816193	PAIP2B
101927111_at	0.0123122	4.39e-05	-4.4018094	1.96796	-0.29650126	SUCLG2-AS1
100302186_at	0.0123122	4.39e-05	-4.4017703	1.96783	-0.75587486	MIR548I3
114792_at	0.0123122	4.48e-05	-4.3958257	1.94916	-0.35096927	KLHL32
8707_at	0.0123122	4.55e-05	-4.3916311	1.936	-0.55096115	B3GALT2
117247_at	0.0123122	4.59e-05	-4.3888835	1.92738	-0.50309618	SLC16A10
26270_at	0.0123122	4.67e-05	4.3842152	1.91274	0.51425604	FBXO6
9735_at	0.0123122	4.76e-05	4.378579	1.89507	0.41995434	KNTC1
2820_at	0.0123122	4.81e-05	4.3757203	1.88611	0.4570712	GPD2
6037_at	0.0123122	4.84e-05	4.3738713	1.88032	1.7030722	RNASE3
5252_at	0.0123122	4.84e-05	-4.3736242	1.87955	-0.20148757	PHF1
28603_at	0.0123122	4.85e-05	-4.372854	1.87714	-0.76638589	TRBV6-4
699_at	0.0123122	4.87e-05	4.3718116	1.87387	0.70991473	BUB1
54877_at	0.0123122	4.88e-05	4.3713867	1.87254	0.83653514	ZCCHC2
4054_at	0.0124201	4.97e-05	-4.365969	1.85559	-0.33898373	LTBP3
56006_at	0.0131309	5.34e-05	-4.3454232	1.79137	-0.41099888	SMG9
4001_at	0.0131309	5.36e-05	4.3442287	1.78764	0.68362775	LMNB1
23424_at	0.0132294	5.46e-05	4.3392411	1.77208	0.58489586	TDRD7
53405_at	0.0133392	5.56e-05	-4.3340526	1.7559	-0.25227687	CLIC5
81794_at	0.0136432	5.74e-05	-4.324776	1.72699	-0.29952555	ADAMTS10
22974_at	0.0139944	6.04e-05	4.3100735	1.68124	0.63420524	TPX2
10194_at	0.0139944	6.06e-05	-4.3088407	1.6774	-0.43840662	TSHZ1
342909_at	0.0139944	6.13e-05	-4.3055777	1.66726	-0.48146442	ZNF284
10999_at	0.0139944	6.17e-05	-4.3039237	1.66212	-0.23336782	SLC27A4
1088_at	0.0139944	6.17e-05	4.3038908	1.66202	2.00531074	CEACAM8
5608_at	0.0143595	6.39e-05	4.293805	1.6307	0.74505358	MAP2K6
5802_at	0.0145495	6.54e-05	-4.2870459	1.60974	-0.30969721	PTPRS
19_at	0.0145495	6.59e-05	4.2847881	1.60274	0.75390801	ABCA1
9447_at	0.0147156	6.72e-05	4.2789269	1.58457	0.81988913	AIM2
23586_at	0.0149128	6.87e-05	4.2725166	1.56472	0.8548364	DDX58
114294_at	0.015116	7.11e-05	4.2627157	1.5344	0.579011	LACTB
10090_at	0.015116	7.18e-05	-4.2599827	1.52595	-0.49259494	UST
26010_at	0.015116	7.23e-05	4.2579718	1.51974	0.73383789	SPATS2L
9446_at	0.015116	7.27e-05	4.2562417	1.51439	0.44723327	GSTO1
9055_at	0.015116	7.27e-05	4.2561373	1.51407	0.49240105	PRC1
150776_at	0.0154792	7.51e-05	-4.2468094	1.48526	-0.24828457	LOC150776
114034_at	0.0159916	7.82e-05	-4.2349244	1.44861	-0.30038505	TOE1
23508_at	0.0160345	7.91e-05	-4.2317472	1.43882	-0.57945849	TTC9
200845_at	0.016035	7.97e-05	-4.2293618	1.43148	-0.43457883	KCTD6
8775_at	0.0161318	8.09e-05	4.22525	1.41882	0.59576987	NAPA
7694_at	0.0162182	8.20e-05	-4.221354	1.40683	-0.30389921	ZNF135
4599_at	0.0165476	8.43e-05	4.2131675	1.38165	1.19741916	MX1
157285_at	0.0165843	8.55e-05	-4.2090524	1.36901	-0.4483305	SGK223
79801_at	0.0165843	8.63e-05	4.2064298	1.36095	0.44310431	SHCBP1
338699_at	0.0165843	8.69e-05	-4.2044186	1.35478	-0.27739715	ANKRD42
1111_at	0.0165843	8.72e-05	4.2033974	1.35164	0.37997401	CHEK1
25932_at	0.0167164	8.89e-05	4.1977694	1.33437	0.45481824	CLIC4
444_at	0.0167164	9.02e-05	4.1934401	1.3211	1.03340972	ASPH
27071_at	0.0167164	9.07e-05	4.1919378	1.31649	0.53806432	DAPP1
80298_at	0.0167164	9.10e-05	-4.1907238	1.31277	-0.35896299	MTERF2
79633_at	0.0167164	9.12e-05	-4.1900499	1.3107	-0.31273254	FAT4
55133_at	0.0167231	9.20e-05	4.1875047	1.3029	0.47100482	SRBD1
23368_at	0.0167231	9.26e-05	-4.1856311	1.29716	-0.27163686	PPP1R13B
347862_at	0.0167492	9.35e-05	-4.1830395	1.28923	-0.22140536	PDDC1
580_at	0.0167492	9.43e-05	4.1805295	1.28154	0.43495507	BARD1
3212_at	0.0167492	9.48e-05	-4.1788335	1.27635	-0.78065228	HOXB2
51439_at	0.0169271	9.65e-05	4.1736198	1.2604	0.57456997	FAM8A1
4288_at	0.0169271	9.72e-05	4.1715828	1.25417	0.64845442	MKI67
151258_at	0.0173548	1.00e-04	-4.1622076	1.22552	-0.50999897	SLC38A11
10562_at	0.0173837	1.01e-04	4.1596744	1.21779	2.06249805	OLFM4
440952_at	0.017537	1.03e-04	4.1550658	1.20372	0.30929788	EIF1B-AS1
3148_at	0.0177075	1.05e-04	4.1502059	1.1889	0.79945128	HMGB2
100616493_at	0.0179142	1.07e-04	4.1430705	1.16715	0.86269945	MIR4441
154664_at	0.0179142	1.07e-04	4.1427959	1.16631	1.28480891	ABCA13
1668_at	0.0183885	1.11e-04	4.133127	1.13687	2.1841162	DEFA3
4145_at	0.0184657	1.13e-04	-4.1266635	1.11721	-0.3894636	MATK
11274_at	0.0184657	1.14e-04	4.1258768	1.11482	0.86692202	USP18
7357_at	0.0184657	1.14e-04	4.124865	1.11175	0.59197166	UGCG
54464_at	0.0184657	1.14e-04	4.1240916	1.10939	0.52932292	XRN1
3433_at	0.0185054	1.15e-04	4.1215394	1.10164	0.92514725	IFIT2
4057_at	0.0185874	1.17e-04	4.1180625	1.09108	1.90433734	LTF
158405_at	0.0185874	1.17e-04	4.1163429	1.08586	0.64156981	KIAA1958
7469_at	0.0185874	1.19e-04	-4.112415	1.07393	-0.20747662	NELFA
10712_at	0.0185874	1.19e-04	-4.1108972	1.06933	-0.23054265	FAM189B
11043_at	0.0185874	1.19e-04	-4.1108125	1.06907	-0.47303709	MID2
79682_at	0.0186194	1.20e-04	4.108454	1.06192	0.34788979	CENPU
84628_at	0.0187008	1.22e-04	4.104414	1.04967	0.66834655	NTNG2
6947_at	0.0187008	1.22e-04	4.1034973	1.04689	1.18524278	TCN1
147694_at	0.0187919	1.24e-04	-4.0997044	1.03539	-0.3378877	ZNF548
493913_at	0.0187919	1.25e-04	-4.0981818	1.03078	-0.29704539	PAPPA-AS1
57082_at	0.0187919	1.26e-04	4.095779	1.0235	0.88574941	CASC5
144110_at	0.0187919	1.26e-04	-4.0941174	1.01847	-0.41966102	TMEM86A
149233_at	0.0187919	1.27e-04	-4.0930776	1.01533	-0.41348477	IL23R
29928_at	0.0193085	1.31e-04	-4.0832881	0.98571	-0.4415048	TIMM22
137872_at	0.0193647	1.32e-04	-4.0806691	0.9778	-0.61472547	ADHFE1
9249_at	0.019497	1.34e-04	-4.0769047	0.96642	-0.41166938	DHRS3
100505869_at	0.0198403	1.38e-04	4.067159	0.93701	0.84776746	CFAP58-AS1
64135_at	0.0198403	1.39e-04	4.0652446	0.93123	0.94725244	IFIH1
27239_at	0.0198403	1.39e-04	-4.0650753	0.93072	-0.56244668	GPR162
55860_at	0.0198403	1.41e-04	4.0615982	0.92024	0.3777646	ACTR10
24138_at	0.0198403	1.42e-04	4.0607258	0.91761	0.91425033	IFIT5
63926_at	0.0198403	1.42e-04	-4.0599382	0.91523	-0.28453513	ANKEF1
55771_at	0.0198403	1.42e-04	4.0597615	0.9147	0.3783852	PRR11
55335_at	0.0204161	1.48e-04	-4.0482164	0.87994	-0.27530609	NIPSNAP3B
84674_at	0.0204161	1.48e-04	4.047924	0.87906	0.45962583	CARD6
26289_at	0.0205366	1.49e-04	-4.0445181	0.86881	-0.64223845	AK5
2205_at	0.0207686	1.54e-04	-4.0357124	0.84234	-1.15301284	FCER1A
4938_at	0.0207686	1.57e-04	4.0306523	0.82715	1.31287271	OAS1
203286_at	0.0207686	1.57e-04	-4.0294534	0.82355	-0.26827217	ANKS6
8819_at	0.0207686	1.58e-04	4.028697	0.82128	0.81978236	SAP30
151636_at	0.0207686	1.58e-04	4.0286701	0.8212	0.63860782	DTX3L
23270_at	0.0207686	1.58e-04	-4.0276928	0.81827	-0.23006627	TSPYL4
79414_at	0.0207686	1.59e-04	-4.0269396	0.81601	-0.20036697	LRFN3
23119_at	0.0207686	1.61e-04	-4.0225399	0.80281	-0.39118198	HIC2
27074_at	0.0207686	1.61e-04	4.0221068	0.80151	0.60670556	LAMP3
64108_at	0.0207686	1.62e-04	4.0211675	0.7987	0.89186667	RTP4
9133_at	0.0207686	1.62e-04	4.0211616	0.79868	0.58799624	CCNB2
8339_at	0.0207686	1.62e-04	4.0196306	0.79409	0.61792841	HIST1H2BG
221002_at	0.0207686	1.63e-04	4.0194222	0.79346	0.40191497	RASGEF1A
9517_at	0.0207686	1.63e-04	4.0188606	0.79178	0.53814249	SPTLC2
7629_at	0.0208718	1.65e-04	-4.0151303	0.78061	-0.27105765	ZNF76
1269_at	0.0208718	1.65e-04	-4.0142851	0.77807	-0.50959207	CNR2
85378_at	0.0208718	1.66e-04	-4.0124285	0.77251	-0.34391238	TUBGCP6
638_at	0.0208718	1.67e-04	4.0112895	0.7691	0.19313662	BIK
100134229_at	0.0219144	1.78e-04	3.9925313	0.71302	0.83888575	JHDM1D-AS1
83541_at	0.0219144	1.79e-04	-3.9906276	0.70733	-0.40809455	FAM110A
147339_at	0.0219144	1.80e-04	3.9888653	0.70207	0.36848872	C18orf25
81789_at	0.0219144	1.80e-04	-3.9883478	0.70053	-0.33412705	TIGD6
54809_at	0.0219144	1.81e-04	3.9867322	0.69571	0.75783752	SAMD9
118788_at	0.0219144	1.82e-04	3.9851039	0.69085	0.51959973	PIK3AP1
834_at	0.0219144	1.82e-04	3.9849775	0.69047	0.57618176	CASP1
9050_at	0.0219144	1.83e-04	3.9838141	0.687	0.80856435	PSTPIP2
85414_at	0.0219144	1.84e-04	-3.9818242	0.68107	-0.32715518	SLC45A3
959_at	0.0219144	1.86e-04	-3.9792957	0.67353	-0.8591523	CD40LG
3431_at	0.0219144	1.88e-04	3.9753944	0.66191	0.54622099	SP110
147686_at	0.0219144	1.89e-04	-3.9750366	0.66084	-0.3120854	ZNF418
54625_at	0.0219144	1.89e-04	3.9736775	0.65679	0.83815609	PARP14
122525_at	0.0219144	1.89e-04	-3.9736452	0.6567	-0.27196436	C14orf28
388335_at	0.0219144	1.92e-04	-3.9698687	0.64545	-0.22335799	TMEM220
1823_at	0.0219144	1.95e-04	-3.9652839	0.63181	-0.38689176	DSC1
28624_at	0.0219144	1.96e-04	-3.9638926	0.62767	-0.60964646	TRBJ2-5
9833_at	0.0219144	1.96e-04	3.9638158	0.62744	0.45978697	MELK
100419583_at	0.0219144	1.96e-04	3.9633488	0.62606	0.47147753	LOC100419583
3804_at	0.0219144	1.96e-04	-3.9633315	0.626	-0.74974275	KIR2DL3
100996567_at	0.0219144	1.97e-04	-3.961476	0.62049	-0.65701038	ANTXRLP1
6773_at	0.0219144	1.97e-04	3.9613707	0.62017	0.78304496	STAT2
932_at	0.0219144	1.97e-04	3.9612709	0.61988	1.40463965	MS4A3
100506922_at	0.0219144	1.98e-04	-3.9598349	0.61561	-0.28865475	LOC100506922
5463_at	0.0219144	1.98e-04	-3.9598104	0.61554	-0.28833122	POU6F1
197259_at	0.0219144	1.98e-04	3.9597292	0.61529	0.46682323	MLKL
3508_at	0.0223142	2.03e-04	-3.9529543	0.59517	-0.24613865	IGHMBP2
23403_at	0.0223789	2.06e-04	-3.9488246	0.58291	-0.22036798	FBXO46
23317_at	0.0223789	2.07e-04	3.9474526	0.57884	0.54395933	DNAJC13
94115_at	0.0223789	2.07e-04	-3.9464606	0.57589	-0.81969344	CGB8
10752_at	0.0223789	2.08e-04	-3.9456793	0.57358	-0.20177978	CHL1
9070_at	0.0223789	2.08e-04	3.945469	0.57295	0.40457711	ASH2L
6303_at	0.0224137	2.09e-04	3.9436958	0.56769	0.44227282	SAT1
100616403_at	0.0224615	2.11e-04	-3.9414638	0.56107	-0.37449337	MIR4691
7298_at	0.0224615	2.12e-04	3.9404573	0.55809	0.81115453	TYMS
90139_at	0.0225488	2.13e-04	-3.9379983	0.5508	-0.58336016	TSPAN18
100422867_at	0.0226391	2.15e-04	3.9355088	0.54343	0.21077323	MIR378C
29126_at	0.0227352	2.17e-04	3.9329515	0.53585	0.88178655	CD274
116071_at	0.0229177	2.20e-04	3.9289143	0.5239	0.32907425	BATF2
83451_at	0.0229177	2.21e-04	-3.9279942	0.52118	-0.2420934	ABHD11
728554_at	0.0232987	2.25e-04	-3.9217515	0.50272	-0.35083158	LOC728554
51465_at	0.0233231	2.26e-04	3.9201751	0.49806	0.65587716	UBE2J1
8519_at	0.0235716	2.30e-04	3.9157169	0.48489	0.37850326	IFITM1
54443_at	0.0237503	2.33e-04	3.9111136	0.4713	0.68316401	ANLN
219968_at	0.0237503	2.34e-04	-3.9100257	0.46809	-0.45539042	OR5B21
6785_at	0.0237503	2.35e-04	-3.9085896	0.46385	-0.38613301	ELOVL4
102724965_at	0.0237503	2.37e-04	3.9060348	0.45631	0.2979386	LOC102724965
376497_at	0.0237503	2.38e-04	-3.9044328	0.45159	-0.21010109	SLC27A1
80014_at	0.0237503	2.39e-04	-3.9041033	0.45062	-0.29947427	WWC2
51203_at	0.0237503	2.40e-04	3.901836	0.44393	0.72254304	NUSAP1
146540_at	0.0237503	2.41e-04	-3.9016632	0.44342	-0.27712158	ZNF785
79879_at	0.0237503	2.41e-04	-3.9012409	0.44218	-0.30409293	CCDC134
400617_at	0.0237503	2.41e-04	3.9011356	0.44187	0.79697589	KCNJ2-AS1
29767_at	0.0237843	2.43e-04	3.8982619	0.4334	0.47588619	TMOD2
80231_at	0.0237843	2.44e-04	3.8975585	0.43133	0.59000112	CXorf21
10743_at	0.0237843	2.44e-04	-3.8971038	0.42999	-0.20125224	RAI1
58476_at	0.023888	2.46e-04	-3.8945958	0.4226	-0.33249282	TP53INP2
345611_at	0.0239742	2.49e-04	-3.8917528	0.41423	-0.33096021	IRGM
9332_at	0.0239742	2.49e-04	3.8911369	0.41242	1.17099	CD163
25850_at	0.0240491	2.51e-04	-3.8890131	0.40617	-0.24109364	ZNF345
100506046_at	0.0241297	2.53e-04	-3.8868255	0.39974	-0.41258654	GAS5-AS1
5110_at	0.024252	2.55e-04	3.8841223	0.39179	0.68263836	PCMT1
55738_at	0.0243061	2.57e-04	-3.8818178	0.38501	-0.18098373	ARFGAP1
101927412_at	0.0243061	2.57e-04	-3.8811211	0.38297	-0.28623545	LOC101927412
1368_at	0.0252125	2.68e-04	3.8688413	0.34691	0.46916204	CPM
7782_at	0.0252983	2.70e-04	-3.8666549	0.3405	-0.31995128	SLC30A4
2634_at	0.0253132	2.72e-04	3.8646688	0.33468	0.65175261	GBP2
200232_at	0.0253132	2.72e-04	3.8641799	0.33325	0.54299489	FAM209A
51514_at	0.0255244	2.78e-04	3.857855	0.31472	0.62930156	DTL
634_at	0.0255244	2.79e-04	3.8571861	0.31276	0.68089328	CEACAM1
528_at	0.0255244	2.79e-04	3.8565666	0.31094	0.63219792	ATP6V1C1
220594_at	0.0255244	2.79e-04	3.8563815	0.3104	0.32495012	USP32P2
8329_at	0.0255244	2.80e-04	3.8554876	0.30779	0.93979711	HIST1H2AI
27036_at	0.0255244	2.81e-04	-3.8548605	0.30595	-0.49708343	SIGLEC7
5797_at	0.025591	2.83e-04	-3.8518523	0.29715	-0.53423437	PTPRM
6013_at	0.025591	2.84e-04	-3.8516209	0.29647	-0.38115559	RLN1
8745_at	0.025591	2.87e-04	-3.8481022	0.28618	-0.25672484	ADAM23
64151_at	0.025591	2.87e-04	3.8478542	0.28545	0.67669399	NCAPG
5462_at	0.025591	2.87e-04	-3.8478167	0.28534	-0.54498126	POU5F1B
285386_at	0.025591	2.88e-04	-3.8474175	0.28418	-0.42834764	TPRG1
7423_at	0.0256828	2.90e-04	-3.8449898	0.27708	-0.40377598	VEGFB
117157_at	0.0256828	2.92e-04	-3.8432249	0.27192	-0.9541433	SH2D1B
91010_at	0.0256828	2.92e-04	-3.8430526	0.27142	-0.46455702	FMNL3
7289_at	0.0258162	2.94e-04	-3.8403882	0.26363	-0.32155564	TULP3
83985_at	0.0259306	2.97e-04	-3.8379584	0.25654	-0.29185741	SPNS1
374383_at	0.0261055	3.00e-04	-3.8348289	0.2474	-0.24479543	NCR3LG1
7706_at	0.0261523	3.01e-04	3.8332076	0.24267	0.57114823	TRIM25
81627_at	0.0262159	3.03e-04	3.8313954	0.23739	0.36473683	TRMT1L
23555_at	0.0270017	3.13e-04	-3.8212995	0.20796	-0.25571362	TSPAN15
55001_at	0.027099	3.16e-04	-3.8191346	0.20166	-0.3027388	TTC22
9555_at	0.0271216	3.17e-04	3.8178179	0.19783	0.33622449	H2AFY
143684_at	0.0271853	3.19e-04	3.8160423	0.19266	0.32954395	FAM76B
8638_at	0.0272055	3.21e-04	3.8139072	0.18645	0.85776458	OASL
4993_at	0.0272055	3.22e-04	-3.8125352	0.18246	-0.14742489	OR2C1
113612_at	0.0272055	3.24e-04	-3.8112141	0.17862	-0.34102666	CYP2U1
386757_at	0.0272055	3.25e-04	3.8101182	0.17543	0.42347032	SLC6A10P
3992_at	0.0272055	3.25e-04	-3.8098122	0.17454	-0.3193555	FADS1
59307_at	0.0272055	3.26e-04	-3.8095428	0.17376	-0.40831327	SIGIRR
8651_at	0.0277404	3.33e-04	3.80254	0.15341	0.42453779	SOCS1
4306_at	0.027786	3.36e-04	-3.8002884	0.14688	-0.46932294	NR3C2
8829_at	0.027786	3.36e-04	-3.7999775	0.14597	-0.35386002	NRP1
9241_at	0.0278439	3.38e-04	-3.7983138	0.14115	-0.31458664	NOG
4008_at	0.0279876	3.41e-04	-3.795712	0.1336	-0.394932	LMO7
201232_at	0.0281342	3.44e-04	-3.7930901	0.12599	-0.25952261	SLC16A13
100289410_at	0.0286775	3.53e-04	-3.7851546	0.103	-0.24422033	MCF2L-AS1
9111_at	0.0286775	3.53e-04	3.7851226	0.10291	0.52700204	NMI
57602_at	0.0286775	3.54e-04	-3.7841749	0.10016	-0.30739718	USP36
4680_at	0.0287932	3.56e-04	3.7819302	0.09366	1.65946442	CEACAM6
23275_at	0.0291946	3.62e-04	-3.7766661	0.07843	-0.19018285	POFUT2
126661_at	0.0294786	3.68e-04	-3.7723246	0.06588	-0.36448577	CCDC163P
9509_at	0.0294786	3.68e-04	3.7716864	0.06404	0.58563718	ADAMTS2
100873922_at	0.0300233	3.76e-04	-3.7650484	0.04487	-0.28413865	ZFX-AS1
4940_at	0.0300268	3.80e-04	3.762325	0.03701	1.45104106	OAS3
51510_at	0.0300268	3.80e-04	3.7621902	0.03662	0.65815643	CHMP5
57719_at	0.0300268	3.80e-04	-3.7620435	0.0362	-0.2253103	ANO8
924_at	0.0302143	3.86e-04	-3.7569142	0.0214	-0.49497888	CD7
26053_at	0.0302143	3.87e-04	-3.7562112	0.01937	-0.23556491	AUTS2
8743_at	0.0302143	3.88e-04	3.7556148	0.01766	0.49080314	TNFSF10
23547_at	0.0302143	3.89e-04	-3.7549455	0.01573	-0.51164706	LILRA4
101929265_at	0.0302143	3.90e-04	-3.7539687	0.01291	-0.18841481	LINC01428
3434_at	0.0302143	3.91e-04	3.7535937	0.01183	1.58909592	IFIT1
7220_at	0.0302143	3.91e-04	-3.7532967	0.01098	-0.33945749	TRPC1
80830_at	0.0304397	3.95e-04	3.7500377	0.00159	0.53558264	APOL6
2625_at	0.0308875	4.02e-04	-3.7445626	-0.01417	-0.37082432	GATA3
6890_at	0.0310596	4.06e-04	3.741886	-0.02187	0.46280734	TAP1
100287898_at	0.0313605	4.11e-04	-3.7375304	-0.03439	-0.25604569	TTC34
7052_at	0.0313605	4.12e-04	3.7369929	-0.03594	0.9759275	TGM2
6183_at	0.0316185	4.17e-04	-3.7335062	-0.04596	-0.22364436	MRPS12
23322_at	0.0316685	4.19e-04	-3.7320683	-0.05009	-0.2836785	RPGRIP1L
29957_at	0.0320503	4.25e-04	3.7274099	-0.06346	0.36246147	SLC25A24
22982_at	0.0321278	4.27e-04	-3.7257177	-0.06831	-0.24265768	DIP2C
6948_at	0.0321733	4.30e-04	3.7236698	-0.07419	0.44318305	TCN2
9787_at	0.0321733	4.31e-04	3.7233997	-0.07496	0.52968854	DLGAP5
653505_at	0.0322856	4.33e-04	-3.7213839	-0.08074	-0.40587845	PPIAL4A
