ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol
226147_s_at	5.14e-20	4.61e-23	-12.9759085	41.922498	-1.9099404	PIGR
230760_at	7.23e-20	6.61e-23	-12.9011142	41.568404	-4.5631285	ZFY
205209_at	7.57e-20	7.06e-23	12.8875809	41.504272	1.9290176	ACVR1B
201649_at	8.16e-20	7.76e-23	12.8679642	41.411277	1.2442651	UBE2L6
214934_at	1.28e-19	1.24e-22	-12.7718781	40.955196	-1.1789374	ATP9B
205554_s_at	1.57e-19	1.55e-22	-12.7255711	40.735058	-2.1667594	DNASE1L3
235942_at	2.08e-19	2.10e-22	-12.6629702	40.437115	-2.4617686	FAM224A///FAM224B
210588_x_at	2.92e-19	2.99e-22	12.5900823	40.089718	0.8279914	HNRNPH3
202913_at	3.02e-19	3.16e-22	12.5784652	40.0343	1.6146963	ARHGEF11
236156_at	3.02e-19	3.21e-22	12.5753363	40.019372	2.7971615	LOC101926887///LIPA
238775_at	3.08e-19	3.35e-22	12.5664961	39.977189	1.4525005	ITFG1
205483_s_at	3.08e-19	3.38e-22	12.5647923	39.969058	2.742527	ISG15
202164_s_at	3.50e-19	3.90e-22	12.5350023	39.826848	0.9023735	CNOT8
243196_s_at	4.61e-19	5.23e-22	12.4751062	39.540658	1.8037724	TRAFD1
202162_s_at	4.71e-19	5.42e-22	12.4675745	39.504647	0.9487953	CNOT8
212403_at	5.49e-19	6.43e-22	12.4327565	39.338098	1.1340161	UBE3B
201384_s_at	5.52e-19	6.56e-22	12.4285351	39.317898	0.5889186	NBR1
209761_s_at	5.96e-19	7.20e-22	12.409409	39.226353	1.6897727	SP110
210797_s_at	6.22e-19	7.63e-22	12.3976009	39.169817	3.1210129	OASL
212027_at	6.63e-19	8.24e-22	12.3816882	39.093609	0.9623053	RBM25
208811_s_at	7.23e-19	9.21e-22	12.3590159	38.984986	1.5875463	TMEM135///DNAJB6
207616_s_at	7.23e-19	9.26e-22	12.3578332	38.979319	1.8545174	TANK
210080_x_at	8.64e-19	1.12e-21	-12.3185058	38.790784	-0.9455663	CELA3A
243271_at	9.86e-19	1.30e-21	12.2887317	38.647951	1.9391131	
202269_x_at	9.94e-19	1.33e-21	12.2842004	38.626206	2.6258351	GBP1
210110_x_at	1.02e-18	1.38e-21	12.2755694	38.584783	0.7738672	HNRNPH3
215933_s_at	1.06e-18	1.46e-21	12.2650621	38.534345	1.5337745	HHEX
228861_at	1.14e-18	1.59e-21	12.2476772	38.45087	1.3816337	CDS2
207908_at	1.20e-18	1.68e-21	-12.2356245	38.392983	-1.707202	KRT2
223177_at	1.20e-18	1.71e-21	-12.2327686	38.379264	-1.3143363	NT5DC1
201696_at	1.22e-18	1.77e-21	12.2248895	38.341412	0.6557585	SRSF4
219406_at	1.22e-18	1.78e-21	-12.22428	38.338484	-1.2725135	C1orf50
204409_s_at	1.27e-18	1.88e-21	-12.2126258	38.282485	-6.8219846	EIF1AY
219062_s_at	1.33e-18	2.02e-21	12.198636	38.215248	1.4142271	ZCCHC2
209658_at	1.33e-18	2.02e-21	-12.1982119	38.213209	-1.2964136	CDC16
201588_at	1.41e-18	2.16e-21	-12.1848045	38.148755	-0.6604928	TXNL1
AFFX-HSAC07/X00351_M_at	1.43e-18	2.24e-21	12.1771345	38.111874	1.086019	ACTB
232618_at	1.43e-18	2.24e-21	-12.17705	38.111468	-4.7550103	TXLNGY
212418_at	1.55e-18	2.46e-21	12.1579269	38.019494	0.802475	ELF1
207127_s_at	1.85e-18	2.97e-21	12.1195696	37.834913	0.765692	HNRNPH3
220003_at	2.27e-18	3.70e-21	-12.075015	37.620346	-1.5642133	LRRC36
215096_s_at	2.62e-18	4.31e-21	-12.0439063	37.47043	-1.0179335	ESD
202089_s_at	2.78e-18	4.63e-21	12.0294358	37.400667	1.0277154	SLC39A6
232610_at	3.06e-18	5.14e-21	12.007896	37.296789	3.5619635	PARP14
211256_x_at	3.43e-18	5.84e-21	11.9819276	37.1715	1.338268	BTN2A1
221244_s_at	3.64e-18	6.26e-21	11.9677545	37.103095	1.3876476	PDPK1
226375_at	3.64e-18	6.33e-21	11.9655701	37.092551	1.6435613	LMTK2
200690_at	3.64e-18	6.39e-21	-11.9636555	37.08331	-1.3734795	HSPA9
213034_at	3.94e-18	6.99e-21	11.9454411	36.995369	0.7314752	SIK3
227807_at	4.41e-18	7.90e-21	11.9204477	36.874654	1.7243538	PARP9
203120_at	4.74e-18	8.59e-21	11.9035911	36.793209	0.8719826	TP53BP2
217933_s_at	4.81e-18	8.80e-21	11.8986959	36.769553	1.8224017	LAP3
218431_at	4.98e-18	9.19e-21	-11.8898041	36.726578	-0.9521168	VIPAS39
231577_s_at	5.39e-18	1.01e-20	11.8714712	36.637953	2.3488052	GBP1
1562305_x_at	5.97e-18	1.13e-20	-11.8486435	36.527561	-1.6475745	ZKSCAN3
219296_at	6.78e-18	1.29e-20	11.8210835	36.394227	0.9974108	ZDHHC13
205000_at	7.11e-18	1.37e-20	-11.809059	36.336034	-6.1049511	DDX3Y
231175_at	7.11e-18	1.38e-20	-11.8075614	36.328785	-1.1436557	BEND6
AFFX-HUMISGF3A/M97935_MA_at	7.12e-18	1.40e-20	11.8040112	36.311601	2.4627299	STAT1
204105_s_at	7.12e-18	1.41e-20	-11.8033684	36.30849	-2.877841	NRCAM
202858_at	7.84e-18	1.56e-20	11.7821421	36.205726	0.7656307	U2AF1
207063_at	8.01e-18	1.62e-20	-11.7748681	36.170503	-3.3230724	TTTY14
1553709_a_at	8.01e-18	1.63e-20	11.7740695	36.166635	1.1766382	PRPF38A
227679_at	8.10e-18	1.66e-20	-11.7698285	36.146096	-1.3988311	HDAC11
218986_s_at	8.24e-18	1.70e-20	11.7645345	36.120455	1.3980383	DDX60
229693_at	9.43e-18	1.97e-20	-11.7355702	35.980131	-0.98214	TMEM220
228492_at	9.73e-18	2.05e-20	-11.7274135	35.940603	-5.8239319	USP9Y
227279_at	9.95e-18	2.11e-20	-11.7211485	35.910238	-1.3945085	TCEAL3
201573_s_at	1.00e-17	2.14e-20	-11.718003	35.894992	-0.6923838	ETF1
214427_at	1.08e-17	2.32e-20	-11.7016995	35.815955	-1.5372093	NOP2
208625_s_at	1.08e-17	2.36e-20	11.6986685	35.801259	1.1200508	EIF4G1
242020_s_at	1.24e-17	2.72e-20	11.6699212	35.66184	2.6385744	ZBP1
243587_x_at	1.34e-17	2.99e-20	11.650606	35.568129	1.70691	
213361_at	1.34e-17	3.00e-20	11.6500117	35.565245	1.2945815	TDRD7
1558689_a_at	1.35e-17	3.03e-20	-11.6476426	35.553749	-1.617216	STX17-AS1
1565714_at	1.35e-17	3.06e-20	11.6459905	35.545732	2.3032212	
244274_at	1.42e-17	3.25e-20	-11.6337582	35.486366	-1.5070618	
1555349_a_at	1.51e-17	3.49e-20	11.6195529	35.417411	1.774798	ITGB2
222517_at	2.00e-17	4.65e-20	-11.5610973	35.133498	-1.3475491	AP3M1
226095_s_at	2.09e-17	4.93e-20	11.5495568	35.077417	0.6574405	ATXN1L
215095_at	2.09e-17	4.93e-20	-11.5494625	35.076959	-1.5656501	ESD
218471_s_at	2.09e-17	4.97e-20	-11.5478617	35.069179	-1.3062263	BBS1
208701_at	2.22e-17	5.31e-20	11.5345315	35.004388	2.3101074	APLP2
209472_at	2.24e-17	5.42e-20	-11.5303096	34.983864	-0.8124658	KYAT3
225005_at	2.24e-17	5.45e-20	11.5290694	34.977836	0.9349267	PHF13
225095_at	2.51e-17	6.19e-20	11.5035269	34.85364	1.2653925	SPTLC2
206562_s_at	2.51e-17	6.20e-20	11.5032034	34.852067	1.5630223	CSNK1A1
201394_s_at	2.81e-17	6.99e-20	11.4790518	34.734591	1.0034546	RBM5
234875_at	2.94e-17	7.36e-20	-11.468464	34.683078	-0.8963451	RPL7AP10
223450_s_at	3.09e-17	7.80e-20	11.4568724	34.626672	1.3138131	COG3
226385_s_at	3.16e-17	8.03e-20	-11.4510395	34.598285	-1.1473016	MALSU1
1564601_at	3.24e-17	8.31e-20	-11.4440891	34.564456	-1.0132824	LINC00221
235064_s_at	3.47e-17	8.95e-20	-11.4290149	34.491076	-0.9931085	C20orf196
241621_at	3.63e-17	9.44e-20	11.4183764	34.439279	2.0682305	SMCHD1
235773_at	3.71e-17	9.72e-20	-11.4124685	34.410511	-1.4249532	ZIK1
238292_at	3.71e-17	9.79e-20	11.4110307	34.40351	1.6916629	
200759_x_at	3.71e-17	9.83e-20	11.4102108	34.399517	0.6837249	NFE2L1
239229_at	4.19e-17	1.12e-19	-11.3839116	34.271423	-2.1681921	PHEX
218249_at	4.20e-17	1.13e-19	-11.3819596	34.261914	-0.7132134	ZDHHC6
223799_at	4.26e-17	1.15e-19	11.3781446	34.243328	1.3603354	MSANTD4
235688_s_at	4.28e-17	1.17e-19	-11.3756363	34.231107	-1.2646568	TRAF4
221808_at	4.37e-17	1.20e-19	11.3702876	34.205047	1.0198438	RAB9A
237538_at	4.39e-17	1.21e-19	11.3678952	34.19339	3.0886687	
213735_s_at	4.52e-17	1.26e-19	-11.3607633	34.158637	-0.6988469	COX5B
215431_at	4.58e-17	1.28e-19	11.3565002	34.137862	1.6996916	SNTB1
225291_at	4.77e-17	1.34e-19	11.3471073	34.092084	2.1778826	PNPT1
208919_s_at	4.96e-17	1.41e-19	11.3380112	34.047747	0.5249772	NADK
211997_x_at	5.05e-17	1.45e-19	11.3318745	34.017831	0.9927888	MIR4738///H3F3B///H3F3A
235303_at	5.05e-17	1.45e-19	-11.3316779	34.016873	-1.4824038	TRMT10B
208384_s_at	5.62e-17	1.62e-19	-11.309015	33.906374	-1.6312443	MID2
214719_at	5.86e-17	1.70e-19	-11.2993479	33.859229	-1.0057106	SLC46A3
208873_s_at	6.18e-17	1.81e-19	-11.2872643	33.800291	-0.5541605	REEP5
221220_s_at	6.30e-17	1.86e-19	11.2821669	33.775425	2.1714382	SCYL2
220938_s_at	6.31e-17	1.87e-19	11.2804504	33.767052	1.0176491	GMEB1
224849_at	6.52e-17	1.94e-19	-11.2729198	33.730313	-1.0514737	TTC17
240633_at	7.31e-17	2.19e-19	-11.248487	33.61109	-1.7215791	DOK7
1553530_a_at	7.36e-17	2.22e-19	11.246045	33.599171	1.9438928	ITGB1
236694_at	7.40e-17	2.25e-19	-11.2436973	33.587713	-3.3724681	TXLNGY
230776_at	7.81e-17	2.39e-19	-11.2314939	33.528147	-1.9439491	RNF157-AS1
1563862_at	9.29e-17	2.85e-19	-11.19547	33.352257	-1.8751756	TCEANC
209287_s_at	9.29e-17	2.88e-19	11.1938829	33.344506	2.3519866	CDC42EP3
221500_s_at	9.29e-17	2.89e-19	11.1930062	33.340224	0.5824214	STX16
206553_at	9.63e-17	3.02e-19	11.1840879	33.296666	2.0103334	OAS2
218061_at	9.63e-17	3.03e-19	-11.183381	33.293213	-1.1039471	MEA1
223646_s_at	9.77e-17	3.09e-19	-11.1793411	33.27348	-4.1188002	TXLNGY
206142_at	9.90e-17	3.15e-19	-11.1756223	33.255314	-1.165302	ZNF135
243_g_at	1.00e-16	3.20e-19	11.1723315	33.239238	1.1732338	MAP4
232571_at	1.02e-16	3.30e-19	-11.1664948	33.210724	-1.3088831	CAPN10-AS1
1556814_a_at	1.02e-16	3.31e-19	-11.1656618	33.206655	-1.7037159	
219141_s_at	1.16e-16	3.78e-19	11.1388312	33.075551	1.113336	AMBRA1
205298_s_at	1.19e-16	3.91e-19	11.1321954	33.04312	1.3087009	BTN2A2
AFFX-HUMRGE/M10098_M_at	1.19e-16	3.92e-19	11.1319056	33.041703	1.6958497	
238220_at	1.31e-16	4.34e-19	11.1114068	32.941502	1.4190933	KDM6A
203279_at	1.32e-16	4.39e-19	11.1086894	32.928217	0.9055919	EDEM1
224900_at	1.40e-16	4.71e-19	11.0946579	32.859612	0.7462425	ANKFY1
230180_at	1.40e-16	4.72e-19	11.0943393	32.858054	3.334263	DDX17
1561749_at	1.41e-16	4.78e-19	-11.0917479	32.845383	-1.3476674	
1559509_at	1.41e-16	4.81e-19	-11.0907161	32.840337	-1.5643328	
210200_at	1.49e-16	5.09e-19	11.0791129	32.783594	1.5484703	WWP2
230350_at	1.49e-16	5.11e-19	-11.0783242	32.779737	-1.2688993	TIAL1
202583_s_at	1.50e-16	5.19e-19	11.0752946	32.76492	1.3249638	RANBP9
219519_s_at	1.53e-16	5.33e-19	11.0698562	32.73832	3.2031746	SIGLEC1
242407_at	1.55e-16	5.42e-19	11.0663771	32.721303	1.7958312	
200835_s_at	1.70e-16	5.96e-19	11.0474096	32.628515	1.818285	MAP4
225812_at	1.73e-16	6.10e-19	-11.0427318	32.605629	-1.062369	FAM229B
211919_s_at	1.75e-16	6.20e-19	11.0396359	32.590481	1.4029055	CXCR4
1558237_x_at	1.77e-16	6.32e-19	-11.0356399	32.570929	-1.3545638	DR1
201552_at	1.83e-16	6.57e-19	11.0279413	32.533257	0.9605591	LAMP1
1569338_at	1.84e-16	6.66e-19	-11.0252486	32.52008	-1.5127248	LOC101928123
200027_at	1.84e-16	6.68e-19	-11.0246864	32.517329	-1.0199283	NARS
206700_s_at	1.84e-16	6.68e-19	-11.0245705	32.516762	-5.7108173	KDM5D
217192_s_at	1.90e-16	6.96e-19	11.0162641	32.47611	1.7340704	PRDM1
202021_x_at	2.02e-16	7.41e-19	11.0037833	32.415023	1.1144624	EIF1
204410_at	2.05e-16	7.58e-19	-10.9990684	32.391943	-4.8695889	EIF1AY
210756_s_at	2.12e-16	7.86e-19	10.991989	32.357287	1.9638461	NOTCH2
213473_at	2.18e-16	8.14e-19	-10.9848791	32.32248	-1.1511435	BRAP
244034_at	2.21e-16	8.27e-19	10.9816679	32.306757	2.1963695	
210272_at	2.26e-16	8.53e-19	-10.9754561	32.276343	-1.9057586	CYP2B7P
208184_s_at	2.33e-16	8.83e-19	10.9684955	32.242259	0.6833081	LOC102724200///TRAPPC10
44673_at	2.41e-16	9.17e-19	10.9609945	32.205527	3.029932	SIGLEC1
201779_s_at	2.53e-16	9.67e-19	10.9502844	32.153075	1.3388976	RNF13
201336_at	2.63e-16	1.01e-18	-10.9414123	32.109619	-0.6880432	VAMP3
1563863_x_at	2.68e-16	1.03e-18	-10.9371424	32.088704	-1.5580935	TCEANC
224566_at	2.79e-16	1.08e-18	10.9281718	32.04476	1.3713059	MIR612///NEAT1
223488_s_at	2.81e-16	1.10e-18	10.9252711	32.030549	1.7536249	GNB4
223940_x_at	2.96e-16	1.16e-18	10.9135195	31.972974	1.1605497	MALAT1
205408_at	2.96e-16	1.16e-18	10.9131984	31.971401	1.4564959	MLLT10
204006_s_at	2.97e-16	1.17e-18	10.9118234	31.964663	1.7027116	FCGR3B///FCGR3A
219211_at	3.06e-16	1.22e-18	10.9043433	31.928011	3.4019735	USP18
223242_s_at	3.26e-16	1.30e-18	10.8907208	31.861254	0.7723467	MFSD11
207629_s_at	3.31e-16	1.32e-18	10.8872519	31.844253	1.2679122	ARHGEF2
209201_x_at	3.41e-16	1.37e-18	10.8800654	31.809031	1.1785844	CXCR4
222652_s_at	3.41e-16	1.38e-18	10.8786638	31.802161	1.3765315	GLYR1
239272_at	3.41e-16	1.39e-18	-10.8782225	31.799998	-1.7923813	MMP28
228926_s_at	3.50e-16	1.43e-18	10.872447	31.771689	1.631864	SMARCA2
201935_s_at	3.62e-16	1.48e-18	10.8643764	31.732127	1.0234789	EIF4G3
201909_at	3.91e-16	1.61e-18	-10.8483599	31.653605	-6.2143285	RPS4Y1
205552_s_at	4.13e-16	1.71e-18	10.8361534	31.593753	1.9354506	OAS1
1564707_x_at	4.28e-16	1.78e-18	-10.8282223	31.554862	-1.0242494	GLS2
231956_at	4.39e-16	1.83e-18	10.8221821	31.52524	2.5686098	RNF213
223645_s_at	4.62e-16	1.93e-18	-10.8113203	31.471968	-4.6118494	TXLNGY
243422_at	5.21e-16	2.19e-18	-10.7863722	31.34959	-1.305829	
214786_at	5.29e-16	2.24e-18	10.7821784	31.329015	2.3842914	MAP3K1
200632_s_at	5.29e-16	2.24e-18	10.781634	31.326344	0.7652284	NDRG1
226776_at	5.48e-16	2.33e-18	-10.7737293	31.287561	-1.5721298	ENY2
1558236_at	5.53e-16	2.37e-18	-10.7709059	31.273708	-1.4882099	DR1
209069_s_at	5.61e-16	2.41e-18	10.767187	31.25546	0.6200734	MIR4738///H3F3B///H3F3A
208012_x_at	5.69e-16	2.46e-18	10.7635239	31.237486	0.7872676	SP110
234137_s_at	5.78e-16	2.51e-18	-10.759533	31.217902	-1.0232477	
207561_s_at	5.85e-16	2.54e-18	-10.756439	31.202719	-1.4257491	ABCB8///ASIC3
220046_s_at	5.85e-16	2.56e-18	10.7554638	31.197933	1.1676185	CCNL1
203907_s_at	5.90e-16	2.61e-18	10.7513039	31.177519	0.9431309	IQSEC1
228395_at	5.90e-16	2.62e-18	-10.7507332	31.174719	-1.4893959	GNL3
232022_at	5.90e-16	2.62e-18	-10.7506526	31.174323	-1.2091669	TFB1M
218286_s_at	5.90e-16	2.62e-18	-10.750304	31.172612	-1.0579529	RNF7
215092_s_at	6.16e-16	2.75e-18	10.7410856	31.12737	1.4101409	NFAT5
226077_at	6.50e-16	2.91e-18	10.7294137	31.070081	0.8090058	RNF145
201032_at	6.65e-16	2.99e-18	10.7238524	31.042783	0.7231043	BLCAP
212992_at	6.69e-16	3.02e-18	-10.7220407	31.03389	-1.427414	AHNAK2
1555853_at	7.19e-16	3.26e-18	10.7067342	30.958747	1.6419163	PSMB8-AS1
1559883_s_at	7.39e-16	3.37e-18	10.7003723	30.927513	3.3060282	SAMHD1
208829_at	7.60e-16	3.48e-18	10.6939873	30.896163	0.618411	TAPBP
222568_at	7.77e-16	3.57e-18	10.6888419	30.870898	1.5009012	UGGT1
202687_s_at	8.26e-16	3.81e-18	10.6758706	30.807202	0.9031999	TNFSF10
215192_at	9.00e-16	4.17e-18	-10.657732	30.718119	-1.5433072	PMS2P4
203674_at	9.09e-16	4.22e-18	10.6549948	30.704675	1.6771387	HELZ
238787_at	9.17e-16	4.28e-18	10.6524462	30.692157	1.551008	DENND1B
201731_s_at	9.27e-16	4.34e-18	10.649607	30.678211	0.9194312	TPR
206096_at	1.01e-15	4.77e-18	-10.6306626	30.58515	-1.5178151	ZNF35
1555363_s_at	1.04e-15	4.89e-18	-10.625893	30.561718	-2.1378244	LINC00663
234807_x_at	1.04e-15	4.94e-18	-10.6235552	30.550233	-0.8496097	
229375_at	1.04e-15	4.96e-18	-10.6229565	30.547291	-0.8461316	PPIE
243629_x_at	1.05e-15	5.03e-18	-10.6199379	30.53246	-1.450532	MFI2-AS1
243023_at	1.06e-15	5.07e-18	-10.6184163	30.524985	-1.6604659	
204078_at	1.09e-15	5.25e-18	-10.6114947	30.490976	-1.5489985	P3H4
209762_x_at	1.10e-15	5.31e-18	10.6090804	30.479114	0.7815309	SP110
229902_at	1.15e-15	5.58e-18	-10.5991674	30.430404	-1.3534062	FLT4
241275_at	1.23e-15	6.02e-18	10.5842009	30.356854	2.6316291	CAPZA1
231234_at	1.23e-15	6.02e-18	-10.5841224	30.356468	-1.4450728	CTSC
1559144_x_at	1.23e-15	6.04e-18	-10.5833371	30.352609	-1.7423996	LINC00910
210968_s_at	1.25e-15	6.16e-18	10.5796654	30.334564	0.718196	RTN4
203486_s_at	1.25e-15	6.16e-18	10.5796392	30.334435	0.6089117	ARMC8
227305_s_at	1.28e-15	6.36e-18	10.5730852	30.302223	0.7201896	SMCR8
222489_s_at	1.29e-15	6.42e-18	10.571371	30.293798	0.8049282	WRNIP1
244598_at	1.31e-15	6.55e-18	-10.5672108	30.27335	-0.9550293	LCP2
208759_at	1.33e-15	6.67e-18	10.5636342	30.25577	0.9123263	NCSTN
201849_at	1.37e-15	6.87e-18	-10.5575972	30.226096	-1.5880344	BNIP3
241393_at	1.41e-15	7.12e-18	-10.5505297	30.191354	-2.3236403	IPP
241017_at	1.41e-15	7.14e-18	-10.5500267	30.188882	-1.6210772	TBC1D8///RPL31
219336_s_at	1.42e-15	7.23e-18	-10.5474373	30.176152	-0.985494	ASCC1
230786_at	1.43e-15	7.28e-18	-10.5461858	30.17	-1.1922038	ZCCHC8
228735_s_at	1.49e-15	7.66e-18	10.5360598	30.120219	1.2943114	PANK2
229331_at	1.52e-15	7.82e-18	-10.5319106	30.09982	-0.8957938	SPATA18
205457_at	1.59e-15	8.18e-18	10.5228983	30.055509	1.7449548	C6orf106
1556436_at	1.60e-15	8.27e-18	-10.5205284	30.043857	-1.5138195	EXTL3-AS1
206442_at	1.62e-15	8.39e-18	-10.5177093	30.029995	-2.4139545	SEMG1
241347_at	1.81e-15	9.43e-18	10.4943932	29.91534	1.9750042	RNF213
214875_x_at	1.90e-15	9.93e-18	10.4841146	29.86479	1.4882551	APLP2
57540_at	2.05e-15	1.08e-17	-10.4676118	29.783621	-1.1508627	RBKS
218808_at	2.05e-15	1.08e-17	-10.4672894	29.782035	-0.8401898	DALRD3
229145_at	2.05e-15	1.09e-17	-10.4663561	29.777445	-1.2561446	ANAPC16
213287_s_at	2.08e-15	1.10e-17	-10.4633213	29.762517	-1.3223199	KRT10
244466_at	2.08e-15	1.11e-17	-10.4620889	29.756455	-1.0041891	ZNF544
215451_s_at	2.23e-15	1.19e-17	10.4479691	29.686997	2.6886193	AFF1
207757_at	2.36e-15	1.27e-17	-10.4356863	29.626571	-1.6322181	ZFP2
227384_s_at	2.41e-15	1.30e-17	10.4304115	29.600619	1.5289865	LOC727820
31799_at	2.41e-15	1.30e-17	-10.4303986	29.600556	-1.2269344	
207238_s_at	2.44e-15	1.32e-17	10.4273642	29.585626	0.9476444	PTPRC
216555_at	2.54e-15	1.38e-17	10.4183957	29.541499	2.0254384	PRR14L
204853_at	2.62e-15	1.43e-17	10.4112187	29.506185	0.6925994	ORC2
1557331_at	2.72e-15	1.49e-17	-10.4035123	29.468265	-1.2091288	POLR1B
200836_s_at	2.77e-15	1.52e-17	10.3989926	29.446023	1.0462317	MAP4
213504_at	2.87e-15	1.58e-17	-10.3910782	29.407076	-1.2578604	COPS6
218277_s_at	2.97e-15	1.64e-17	-10.383507	29.369816	-1.0174135	DHX40
236070_at	3.00e-15	1.66e-17	-10.3810782	29.357863	-1.1554298	C2orf81
1565713_at	3.00e-15	1.67e-17	10.380294	29.354003	2.0922062	
218941_at	3.06e-15	1.71e-17	10.3758686	29.332223	1.0698008	FBXW2
226597_at	3.13e-15	1.75e-17	-10.3707671	29.307115	-1.0217374	REEP6
229153_at	3.25e-15	1.83e-17	-10.3624385	29.266122	-0.8529648	SLC7A6OS
219849_at	3.35e-15	1.89e-17	-10.3555662	29.232296	-0.8680592	ZNF671
223455_at	3.62e-15	2.05e-17	-10.3395324	29.15337	-1.0544136	TCHP
214592_s_at	3.71e-15	2.10e-17	10.3343824	29.128018	1.2586863	SNAPC5
200866_s_at	3.82e-15	2.17e-17	10.3279017	29.096114	0.9794607	PSAP
231317_at	4.06e-15	2.32e-17	-10.314658	29.030912	-1.2583387	TSNARE1
231069_at	4.27e-15	2.44e-17	-10.3041645	28.979247	-1.4864805	
228971_at	4.27e-15	2.45e-17	-10.303622	28.976576	-1.3223082	SLC25A3
225214_at	4.27e-15	2.46e-17	10.3029036	28.973039	1.0554339	LOC100129034
227531_at	4.46e-15	2.58e-17	-10.2935828	28.927145	-1.2804192	CLOCK
233957_at	4.56e-15	2.64e-17	10.2887338	28.903269	2.2433671	
1566340_at	4.72e-15	2.75e-17	10.2808767	28.864579	1.7169442	SNORD8
219145_at	4.74e-15	2.77e-17	-10.2795469	28.85803	-1.1880953	ADGRL1
