Gene	GSE11223	GSE112366	GSE126124	GSE179285	GSE186582	GSE20881	GSE59071	GSE6731	GSE95095	Average
ADCY4	7.5492718	1.1315082	3.590958	8.0249369	2.0192757	5.1945734	3.471569	NA	2.318593	4.16258575
CCNO	7.517322	4.9276062	1.131866	8.7694686	3.8663968	4.1018375	1.858386	2.2330104	0.844782	3.916741722222222
ZG16B	7.5125976	6.2995652	5.360944	5.6089208	2.8949776	3.3990937	4.085696	NA	NA	5.023113557142857
VMP1	7.4842741	4.2070855	-6.2130976	3.0182392	NA	2.7908056	-3.287949	NA	NA	1.3332263000000004
CXCL1	7.4598157	3.283814	6.1277341	13.2334302	7.3722974	4.4527327	14.260784	9.1170046	4.417515	7.74723641111111
MMP7	7.4525577	1.1743824	4.212779	8.1613627	3.524601	4.289547	8.043458	1.906415	2.691891	4.606332644444445
UGT2A3	-7.4244668	-1.9403599	-4.1377295	-3.8055345	-4.3114976	-3.4247057	-14.214323	NA	-4.296043	-5.4443325
ACO2	-7.4215215	-1.8560924	-3.8832374	-3.8097754	-5.4348623	-1.8806718	-6.946661	-0.3078978	0.437407	-3.4559236222222216
FOXQ1	7.414153	3.8917501	4.2300658	7.3315689	5.6271994	-1.9526557	5.511385	NA	0.431939	4.0606756875
STK35	-7.4123388	-1.2128314	-4.66235	-1.6550005	1.8532708	-4.2298476	-1.923307	1.8781424	0.448012	-1.8795833444444443
ACSF3	-7.3930432	-1.1252448	-1.8786901	-4.6697077	-2.7551209	-0.2207225	-4.044294	NA	1.124288	-2.6203169
COX10	-7.3877211	-2.0017858	-5.6661591	-6.5568844	-6.8219862	-3.4685382	-3.567324	-0.1116986	-0.183098	-3.9739106000000004
ANP32D	-7.3476419	NA	-0.7011061	2.6922227	-0.8965306	-1.1412548	-1.124799	NA	0.887744	-1.0901951
APH1B	7.3427986	-2.3193055	3.501229	9.0579342	0.9714642	2.7317553	5.725244	NA	1.309437	3.5400696
TIMP1	7.3175794	2.3509346	4.1014873	10.6192017	6.7313259	3.512056	15.973154	5.0206865	4.61284	6.693251711111111
CHERP	-7.3023356	-2.4389472	-4.2204649	-3.8865894	-0.7601282	-0.05529	-0.97358	1.2499218	-0.214298	-2.0668568333333335
AFG3L2	-7.2826115	-2.1634974	-5.4261325	-7.2311633	-3.2203026	-2.0311275	-8.882825	-1.739858	0.148277	-4.203248977777778
THOC5	-7.2813181	0.696892	-2.1742207	3.045892	-1.7899904	-2.2212124	0.829726	-2.0295934	1.28759	-1.0706927777777775
CXCL8	7.2492019	3.9774795	4.9244823	5.8772202	8.7762144	4.8921749	7.024496	4.5180817	NA	5.904918862500001
TF	7.2444057	-2.8384305	0.3494078	4.8287525	0.212003	4.2472988	0.172173	0.1952854	2.30106	1.8568839666666668
C4BPB	7.2275594	4.709207	4.4757972	9.3635785	5.4997291	3.2428994	8.866616	4.0597026	1.872989	5.479786466666666
PCNX2	7.2215494	-2.9718334	-2.6717402	3.4615955	0.4379808	3.8564454	4.219669	-0.5241989	NA	1.6286834499999998
C4BPA	7.204664	1.2516777	4.7081969	4.8308548	3.4904354	2.826006	6.614207	2.5552485	1.342802	3.8693435888888885
HSDL2	-7.1962403	2.6700046	-5.5931826	-5.5340244	-3.169369	-3.3879105	-7.693682	-2.0327456	-1.715832	-3.7392202
NCOA4	-7.1864728	1.3606049	-6.6523461	-2.2763602	-3.0274392	-0.9288294	-7.096462	-1.3675728	1.678104	-2.8329748444444447
ANKH	-7.1752886	-3.5501462	-6.3625409	-8.1744598	-8.2365707	-3.3373933	-10.010282	NA	2.136877	-5.5887255625000005
SAMD9L	7.1735209	3.3327612	4.4075591	11.3394499	6.8772548	6.0486395	12.512883	NA	-0.779984	6.364010550000001
HMGN3	7.167742	0.9846457	2.3084069	4.82485	5.078311	3.2048511	4.104869	2.8894676	4.018215	3.842373144444444
TBC1D2B	7.1228362	-1.6899282	3.6347049	5.7450098	3.9595992	3.4210236	4.668882	0.716078	0.558633	3.126315388888889
PPP2R5D	-7.1225836	0.3378152	-5.3192079	-0.7496916	-3.6001462	-2.0344253	-3.206451	-0.5001938	1.702096	-2.2769764666666665
PSKH1	-7.1033055	0.8026616	-1.3565025	-8.1573276	-2.3858435	-2.3490997	-9.390747	7.7553901	-1.363395	-2.616463233333333
HADHA	-7.0888893	2.0063229	-6.3051746	-4.3063028	-1.9113317	-2.443772	-7.993108	-0.8635551	-0.262197	-3.2408897333333333
CCL11	7.0792749	5.4200289	NA	10.6247186	2.4613789	5.6625921	NA	1.560621	4.938173	5.392398200000001
CENPBD1	-7.0746214	2.0112452	-2.2485386	-2.004325	-1.9738929	-2.1914878	-5.219376	NA	-2.83687	-2.6922333125000004
PIK3R3	7.0744725	4.3760376	5.2258945	9.2851807	7.1755404	4.3944231	10.272633	-2.6604384	1.78826	5.214667044444444
ZFAS1	7.0717432	-1.5368896	-1.3346303	-0.7076886	1.9318941	-2.3374174	1.602997	NA	NA	0.6700012
ZNF124	-7.0318692	-3.4930132	-5.5721665	-5.592008	-5.6679008	-2.6803481	-8.143134	-7.6192671	-1.183483	-5.220354433333333
ME2	-7.0193207	1.9767608	-5.6122876	-5.9769346	-4.1289659	-2.6773237	-7.287323	-2.6186578	-0.720073	-3.7849028333333328
COL1A1	7.0007521	2.9108868	4.2467301	8.7641199	6.4897066	3.0726451	7.334622	0.7378521	8.45871	5.446224966666667
SYTL1	6.9681404	1.6886453	5.8462174	7.6746847	2.4797084	4.3331328	5.197513	NA	2.062008	4.53125625
TMEM173	6.9548975	0.5397235	4.6209597	5.4568819	4.3230677	2.4234485	8.467151	NA	0.373709	4.1449798499999995
MIEF1	-6.9540695	-2.7874611	-6.7793998	-6.12833	-0.1176637	-3.7140866	-4.376276	0.282637	NA	-3.8218312125000007
ADGRF1	6.9144374	4.2172254	3.7714253	4.2489145	3.9959199	6.1189854	3.212213	NA	NA	4.639874414285715
CARHSP1	6.9074231	2.7296182	3.9147836	1.5181574	0.6450214	2.5133197	2.76738	NA	-0.582104	2.5516999249999994
RTEL1	6.9040592	2.1775638	NA	8.1994869	3.2111516	4.1051596	NA	1.2776017	2.793826	4.095549828571429
SHMT1	-6.8851301	-1.4350741	-1.1341918	-3.09145	-2.4148195	-1.5344647	-1.538321	NA	1.317063	-2.0895485249999997
UBQLN4	-6.8753482	-1.6516347	-3.3052395	-0.6424407	4.8607173	-3.4609664	1.750311	NA	0.497045	-1.103444525
HLA-G	6.8730145	5.2100768	NA	7.762922	1.8966287	6.7319846	NA	4.3895006	0.508524	4.7675216
SLC5A6	-6.8631471	-3.2461458	-6.3747852	-1.7975549	1.6502227	-4.8399918	-0.804399	-0.0717277	-0.379292	-2.525202311111111
VIL1	-6.8337818	-1.2364066	-4.3359122	-4.1502725	-3.8108417	-1.5744392	-4.83186	-3.0508227	-3.88325	-3.745287411111111
SRD5A3	6.825597	4.9531514	4.4005862	6.0803086	3.7878442	3.548909	4.982024	NA	1.474574	4.5066242999999995
HCFC1	-6.8154281	2.180013	-2.7139589	1.542189	2.9416789	-2.2937325	3.352578	3.0151279	-1.182537	0.002881144444444613
MARS	-6.8115267	2.8829323	2.4318989	7.4322371	NA	-2.2023687	7.468412	NA	1.783681	1.8550379857142858
PRSS22	6.8063842	1.1668084	5.0088712	6.7963589	1.6096355	2.5626899	6.562302	0.9911072	0.062332	3.5073876999999998
PSMD5-AS1	-6.8016858	1.3975613	NA	2.3496816	-2.5193345	1.3259034	NA	NA	NA	-0.8495747999999999
AGPAT4-IT1	6.796288	-0.7197059	0.2002959	3.5195752	3.8084057	1.8317191	3.992731	NA	NA	2.7756155714285713
LRRC47	-6.7916043	-1.0285436	0.7460417	-5.6396526	1.9944129	-2.6320336	-1.94885	NA	1.609454	-1.7113469375
MKI67	-6.7910525	3.3908143	-2.3872779	0.8825734	2.9571194	-3.3049163	4.238673	2.1962318	-0.275877	0.10069868888888894
ALAS2	6.7889819	2.2209457	0.4579459	4.9393976	2.1836736	4.3556076	1.654242	-0.2456077	1.724103	2.675476622222222
DNAJC11	-6.785747	2.299122	-6.8945253	-5.6827934	-1.5537271	-4.5148354	-4.394793	1.6281087	2.088454	-2.645637388888889
PML	6.7839637	2.8334401	4.8619071	11.3055267	6.556253	4.9250413	9.820472	1.9747776	4.138795	5.911130722222223
TXNL4B	-6.7781309	0.1120699	-1.8008341	3.1637203	-1.0099301	-2.229051	-0.197277	NA	0.251361	-1.0610089875000002
IRAK3	6.7660838	2.2363267	3.9770291	8.1825224	4.3913111	3.1504684	10.986464	1.9340303	0.510954	4.681687755555555
PAPOLA	-6.764944	-3.6899189	-4.3974491	-3.9004886	-0.812698	-3.0482411	-3.6584	-2.8529922	-0.982034	-3.345240655555555
GOT1	-6.7641587	1.9518726	-5.1819796	-8.1485541	-3.9833865	-4.9586077	-3.953456	-2.2519645	-2.139395	-3.9366255000000003
SLC6A14	6.7576063	3.7539711	5.1369549	10.2427404	6.3870733	3.7310477	14.978039	NA	1.49573	6.5603953375
SLC16A3	6.732899	5.1369407	5.1236619	4.6043513	NA	5.3619453	4.858548	NA	2.587729	4.915153600000001
SLC25A11	-6.7002037	2.3400106	-3.3318458	-2.5242755	-1.1432991	-2.4979836	-3.741075	-1.5365806	-0.059359	-2.1327346333333335
TACO1	-6.6999157	1.732761	-4.2689771	-4.0113372	-1.464245	-3.4901316	-5.697447	NA	-2.815499	-3.3393489499999998
ANXA5	6.6975103	4.0423012	4.8716356	11.5303937	4.7577894	6.234303	9.825339	1.8197058	0.643554	5.602503555555555
C21orf33	-6.6923312	0.1989936	-1.5107606	-7.8495582	0.2385081	-3.6286689	-6.640656	-1.193614	1.306794	-2.863477022222222
MR1	6.6721375	1.5149953	1.447766	9.0626405	2.5669716	6.4950013	5.216397	-3.3025261	1.084889	3.417585788888889
PCDH17	6.6689458	2.2390402	3.718219	9.7269106	6.443353	3.4558703	6.238272	-0.6579451	6.01036	4.871447311111112
PLCB3	-6.6620377	0.1998118	-2.2536277	1.0260736	-1.6786258	0.3340285	-0.890712	1.087279	2.293949	-0.7270957
TMEM158	6.6578595	2.2814961	3.3167757	7.3564461	5.192172	3.7972887	3.722301	3.0218529	1.760121	4.122923666666666
ZNF507	-6.6258306	-2.3243808	-5.4846609	-2.7324718	-3.9038704	-1.3059731	-4.827108	-2.6448536	-0.726671	-3.3973133555555552
IFITM2	6.6244503	3.5175757	4.2543014	11.3784614	5.9199866	4.3590586	10.04744	2.7077642	3.494837	5.811541688888889
PRDX2	-6.6132384	-2.4611283	-3.0871512	-1.9888174	-3.0970834	-1.9531079	-0.409536	1.9302162	-1.082907	-2.0847503777777776
FKBP4	-6.5928906	2.8784269	-3.3154156	-4.0316583	-1.3954179	-3.147784	-4.949121	-0.4218943	-0.091605	-2.340817755555556
MOCS1	-6.5854575	-1.2631905	-4.0336223	-6.2858262	-1.123948	-2.0221973	-8.365008	-1.8729786	1.021568	-3.3922955999999997
AGPAT4	6.5630055	1.4557671	3.0597037	5.5198521	4.6576691	2.1805229	7.187202	NA	2.773864	4.1746983
MTERF1	-6.5264962	-1.8192902	NA	-6.7197207	-1.4000348	-2.3833443	NA	-0.5199231	NA	-3.228134883333333
HCP5	6.5247462	3.1476635	4.4947744	9.104499	6.7284666	4.4716975	3.049787	3.6147219	0.011807	4.572018122222222
TRIM22	6.519094	0.6887094	3.0837659	9.6725131	3.1134157	5.8113003	11.357789	-0.2534011	0.958833	4.550224366666666
TMLHE	-6.5177395	0.8239068	-4.6842341	-5.0321525	-1.4823668	-2.4299319	-6.77932	NA	-0.373235	-3.3093841250000002
SLC39A5	-6.5172798	-0.3218796	-3.5513599	-3.7340099	-5.1341564	-1.9567518	-6.264832	NA	-1.689272	-3.6461926749999996
WSB1	6.4972267	-2.6002337	-1.1500847	0.8980953	4.5457535	5.3771277	1.863019	2.007753	1.039628	2.0531427555555553
PMEPA1	6.4960741	4.2311245	4.2565417	8.178073	3.6841281	2.4127907	6.184846	NA	4.340942	4.973065012499999
LYPD5	6.4957336	1.9894303	4.9357839	7.4955143	-0.4506015	4.123734	5.863599	NA	1.814962	4.03351945
KCNK6	6.4913625	3.5779672	5.8299281	5.6537096	0.7827988	1.9961392	3.157765	NA	-2.372559	3.139638925
KIAA2013	-6.4909508	-2.1358924	0.5441954	-4.2308947	-4.0689128	-1.5794654	-3.286367	NA	-0.041057	-2.6611680874999997
TMX2	-6.4725101	2.1517128	-1.7744945	-3.758701	-0.7231733	-4.1202825	-2.396162	NA	NA	-2.4419443714285713
GPX8	6.4702869	3.802693	4.6009214	9.6422647	6.1695843	5.2874363	7.895042	NA	5.020526	6.111094325
OGDHL	-6.4683922	-1.461654	-1.6459723	-6.8775283	-2.0950402	-1.3211944	-6.074301	NA	0.341226	-3.20035705
STX1A	6.4611133	1.7474995	0.8870113	5.8644773	0.3530963	4.1876746	2.85045	-3.292342	2.862067	2.435671922222222
ARHGAP36	-6.4605211	0.2528267	1.0193123	-8.0832644	1.5589893	-3.4008017	-2.837149	NA	NA	-2.5643725571428573
HNF1A	-6.4581427	0.5930304	-2.440344	-2.399497	-3.8599539	-1.3202358	-5.719349	-0.6938697	-0.485405	-2.5315296333333333
PEBP1	-6.456191	-1.071391	-1.8378946	-1.7190417	-3.4375357	-2.7204918	0.48735	0.1372619	2.020218	-1.6219684333333335
CCNY	-6.4470608	2.1233602	-4.5106441	-3.8931096	-0.4607936	-1.6087097	-3.603143	NA	2.714588	-1.9606890750000003
PXMP2	-6.4455698	-1.3902885	-3.6425692	-10.2716749	-6.813706	-2.9332389	-7.752633	NA	-2.291133	-5.1926016625
C19orf24	6.442577	1.711101	3.5134131	1.3355969	-0.9991308	-0.1248419	2.678339	NA	1.261489	1.9773179125000002
LPCAT1	6.441776	2.503036	5.7962403	13.2692869	5.8947756	4.6840966	17.626551	6.2199207	2.659063	7.232749566666666
SUCLG1	-6.4341208	-0.5698541	-3.7505269	-5.5775599	-3.5310634	-3.5204816	-5.881673	NA	-0.794565	-3.7574805875
S100Z	6.4334892	-0.3465121	-0.6541919	1.8564224	-0.2565931	1.5556842	0.796241	NA	1.405595	1.3487668375000001
ADD1	-6.4281874	2.3548871	-3.1884571	2.2135039	2.5482659	-3.6443834	0.518824	-1.7536039	2.215254	-0.5737663222222221
ZNF219	-6.4253047	0.3698104	-4.3833407	-6.7903345	-2.5575005	-1.6159317	-9.074017	NA	-1.601005	-4.0097029625
PSMD3	-6.4244304	1.2620222	-3.7402324	0.4998135	-2.2670471	-2.2043051	-1.289197	2.4994859	-0.765767	-1.3810730444444443
CADPS	6.4184994	2.8065092	1.8700147	4.4599451	-0.956435	-2.974318	0.734455	1.3437699	1.909262	1.7346335888888889
FKBP10	6.4138366	2.3954639	4.5128914	8.722281	2.6717089	4.5133635	6.08015	NA	3.936196	4.9057364125000005
CDC25A	-6.4078812	1.5599839	-1.667015	0.3309173	2.1418674	-3.513461	3.009204	1.4588777	0.57435	-0.2792396555555555
USP5	-6.4051424	1.9520245	-2.2228173	1.3760159	0.8246741	-1.2964752	0.160668	0.8776565	1.085552	-0.40531598888888876
NAPEPLD	-6.3966595	-1.2095607	-4.7206367	-5.7242653	-3.3333023	-1.2922375	-5.991239	NA	-3.531869	-4.024971249999999
NMT2	-6.395383	-4.100871	-5.8474439	-8.2897526	-0.876581	-2.2113159	-14.105071	-4.1218244	-0.633519	-5.175751311111111
DLX2	-6.3922584	-1.2743819	1.9816732	-2.134857	-0.1581418	-4.1686266	-0.728998	-1.7341348	1.491415	-1.4575900333333334
CCL20	6.3895452	1.7136931	2.6802705	7.9897929	3.736281	4.0885794	7.979493	3.0599606	0.059528	4.188571522222222
C6orf120	-6.3822524	-2.0606014	-5.9533307	-0.2816976	-6.1203073	-2.4043686	-7.720175	-3.7952517	1.23842	-3.719951633333334
DENND3	6.3819609	-0.5668156	2.6540672	3.5853064	4.6164682	5.1114718	5.500051	2.7113702	-1.378162	3.179524233333334
EPB41L3	-6.3714455	-0.9713855	-2.8275442	-1.2678471	-4.2162576	1.1448299	-7.620806	-2.4052778	0.055038	-2.720077311111111
BRI3BP	-6.3713177	1.2511146	0.5168682	2.3502438	-4.0273853	-5.3480317	-1.094279	NA	-1.406378	-1.7661456375
TNFAIP8	6.3677751	-1.9471576	1.7040917	6.6157626	1.7635958	3.6771987	5.997977	1.4700872	1.774931	3.047140166666667
DDC	-6.3663148	-1.6392027	-4.6729326	-3.3735151	-4.0454043	-1.8037058	-5.947361	-2.1081597	-1.918723	-3.541702111111111
DCAF11	-6.3401472	2.3194989	-3.3693994	-1.3973054	-3.3385908	1.279871	-5.364664	-2.2368436	NA	-2.3059475625
FADS1	6.3391866	1.4881601	5.4380618	10.0803675	NA	5.2993662	7.260552	NA	2.593929	5.499946171428571
CXCL3	6.3382336	4.2400871	4.6615102	7.9219676	5.4516225	3.2924198	9.862903	5.7767146	1.224937	5.418932822222221
GPSM2	-6.3291059	1.5797112	-4.3975512	-2.6167473	-2.4720029	-1.9658181	-1.439753	-2.1021538	-4.415754	-2.6843527777777774
ZNF3	-6.3059363	0.4643807	-5.114202	-4.1807859	-2.4694143	-0.5888432	-8.64271	-1.1516039	-4.594087	-3.6203557666666666
MBTPS1	-6.3004711	-0.8466039	-3.2199291	0.8546201	-0.7521546	1.4703072	-1.072715	-0.057515	4.053667	-0.6523104888888889
IL1B	6.2981919	3.8989127	4.4286034	9.7543983	5.2493006	3.8158049	8.145477	3.1429098	3.464642	5.355360066666666
LMAN2L	-6.2962507	-0.5790818	-2.8229522	-0.9066447	4.760164	-4.063156	-2.01218	NA	0.551989	-1.42101405
TMEM132A	6.2939914	-2.8218024	5.4535133	8.4074224	-0.6665813	5.0192249	4.916429	NA	2.6476	3.6562246625
PSMD2	-6.2930068	2.1411889	-0.0365909	3.2437768	-1.0302202	-0.9037751	-2.017062	1.0327711	2.262621	-0.1778108
KIAA2022	-6.2846088	-2.9424391	-3.8334078	-9.6271215	0.9472361	-4.0122742	-6.582444	NA	2.158289	-3.7720962874999997
PROSC	-6.277843	2.7406267	-0.8729884	-7.5021121	-7.1887139	-3.2585838	-7.450572	-5.3104317	-1.045304	-4.018435800000001
KMT5B	-6.2642653	0.3435856	-5.333329	-4.4748038	-2.5821361	-3.7215739	-5.684095	NA	NA	-3.9595167857142854
AK2	-6.2614536	1.6087478	-4.8351188	-6.6387897	-4.5147929	-4.3624468	-6.745615	-1.941854	1.396272	-3.588339
TOMM22	-6.2547706	2.2017659	-2.2583428	-2.6997519	-1.4839104	-4.4792313	-3.055127	NA	1.243399	-2.0982461375
REXO4	-6.2522052	-0.1923999	0.7869259	-0.6276531	-3.7468931	-1.3065621	-0.083288	NA	-0.069504	-1.4364474375
HSPA14	-6.2508346	1.3128552	-4.4994715	-4.0617962	-0.2819146	-4.6716305	-2.418409	NA	-0.517262	-2.6735579
GRPEL1	-6.2506387	3.6207415	-0.3880933	-3.4808055	-2.405357	-5.1191644	-0.363589	-2.1376613	1.406351	-1.6798018555555554
VWA1	6.2411058	3.3613973	6.4634424	10.4424678	5.8257893	4.878641	9.646617	NA	2.981816	6.230159575
HOPX	6.2396787	1.1690191	2.2506374	3.2572548	2.0522945	3.4418959	1.18815	1.8881005	1.671997	2.5732253222222226
SMOX	6.2394601	2.9071537	3.7038464	9.7626544	4.5736982	3.947624	7.744138	-2.6330965	3.148753	4.377136811111111
METTL13	-6.2376989	-1.869014	-3.9882065	1.2387859	0.969349	-2.4437223	0.368781	-0.7973443	-1.455753	-1.579424788888889
ADGRG6	6.2366967	3.336579	2.2974712	10.4015541	0.7419841	2.7589226	7.507797	1.8834623	NA	4.395558374999999
FIP1L1	-6.2338769	-3.8340888	-5.7901452	-1.3768543	-0.8855796	-1.475099	-2.691523	NA	0.858466	-2.6785876
ARHGEF39	-6.2329356	3.2222268	-3.0364806	-1.5885054	-0.1974923	-2.6417673	-1.0901	NA	NA	-1.6521506285714287
KLB	-6.2311715	1.2432978	-1.2292882	-6.3839165	-3.5500662	-3.2852139	-7.102773	NA	-1.354103	-3.4866543125
ZFHX2	-6.2286348	-2.4354575	-1.4114455	-3.4714	0.0110304	-1.937983	-0.520937	2.5443842	2.155416	-1.255003022222222
TOMM40L	-6.2244181	1.6891808	-3.773428	-2.8697709	1.6498445	-4.1886067	-8.456223	NA	-0.837171	-2.8763240500000005
FCGR3A	6.2154268	NA	7.4096629	11.4687135	NA	5.1531792	6.937034	2.5988717	5.061594	6.4063545857142845
FAM168B	-6.2136911	-2.3889049	-2.7894181	-6.2270298	-4.4263914	-1.6039434	-6.089094	-2.2465446	-0.373277	-3.595366033333333
PRAME	6.2130207	0.969875	-0.9743872	3.0826161	-0.0796651	3.2663902	-2.054422	1.2502774	1.378973	1.4502975666666666
ADH6	-6.2023704	-0.9145833	-5.3477521	-2.9800446	-2.4747784	-3.0034756	-7.493614	-4.0544443	-0.959744	-3.7145340777777784
MGME1	-6.2008778	-3.0480211	NA	-2.0586684	-4.1529184	-1.8010085	NA	NA	NA	-3.45229884
SLC40A1	6.2006255	1.8082488	5.3735858	7.5029556	-0.7363674	6.1605858	2.739479	NA	-0.363422	3.5857113875
TFF1	6.1974551	6.6752748	1.8331394	7.5139228	1.5697176	4.2459865	6.116254	2.195639	-1.618105	3.8588093555555556
SAR1A	6.1951671	5.0617457	0.5759121	6.7515466	4.6646984	1.6635762	5.504201	2.371125	0.9577	3.7495191222222224
ADGRE2	6.1944959	2.6854466	3.8162868	8.9970631	4.7119875	3.9200761	7.015108	1.8968193	NA	4.904660412499999
MUC5AC	6.1907415	3.0909335	NA	3.0665822	-1.4799919	4.301773	NA	-1.44675	NA	2.2872147166666665
GINS1	-6.1893975	0.8471805	-1.4654512	0.0766154	-0.6190046	-2.7835764	0.763951	-1.7210681	1.209916	-1.0978705444444445
MYEOV	6.1863867	3.4841888	1.6622864	7.0181336	6.0541759	0.3100142	6.607097	NA	0.268141	3.94880295
TC2N	6.1793976	6.1395423	-0.9621654	5.4398499	2.05634	2.5492118	2.310325	NA	-4.695722	2.3770974
ELL2	6.1724967	4.6280577	4.6255812	9.0576108	5.2625395	5.2379796	10.048674	-2.8492221	1.443375	4.847454711111111
UBE2L6	6.1635051	4.2741503	8.6115979	10.5749976	4.4636107	4.5322289	12.402594	4.0317626	3.179328	6.470419455555555
LINC01351	-6.1615783	1.8396312	NA	-2.4090736	0.6814426	-2.8046047	NA	NA	NA	-1.7708365600000004
NBPF1	-6.1602193	-3.0112296	NA	-6.3982875	-2.7363113	-2.6179315	NA	NA	-1.200929	-3.6874847
CHCHD4	-6.151799	0.6839935	-0.2629244	-6.2666353	-5.5891392	-3.1331982	-3.49852	NA	-1.646351	-3.2330717
PRPF4B	-6.1508611	-1.5735456	-4.3757204	-3.0872575	1.6389171	-2.7282358	-0.101846	-1.69008	-2.314174	-2.264755922222222
TBX21	6.1497505	0.6832319	2.5146723	6.1546936	1.248516	4.6248547	1.869761	NA	1.733719	3.122399875
ACSF2	-6.1429651	-1.3554704	-5.1222119	-8.9780674	-5.0033173	-1.8464161	-12.07595	NA	-0.152935	-5.08466665
C1orf54	6.142008	1.1805602	2.9704961	5.7897881	5.5635399	3.3870635	3.605752	NA	3.819734	4.057367725
MAPK7	6.1396313	1.7891359	-0.2919928	0.4263802	1.2320844	3.4921095	1.350982	-1.480649	-2.047085	1.1789551666666667
HS3ST1	6.1385945	3.888377	4.9872259	7.5615086	3.7304937	3.8033233	5.041179	-0.9135363	-0.846637	3.710058744444444
STK25	-6.1287304	-0.4626693	-1.1936013	-0.2593961	-1.1017395	-2.9134214	-5.105354	2.1128052	-0.661191	-1.745921977777778
CTSK	6.1276074	1.2401288	4.2299504	8.4711855	5.5867421	4.1309574	6.688778	3.0453147	1.801946	4.591401144444444
CASP4	6.1226228	0.9502745	3.312275	6.9233531	-0.8125191	3.9492813	7.748899	2.8140305	3.069989	3.7864673444444445
NOC2L	-6.1198011	1.604638	1.1636204	2.176639	2.8366732	-2.6869135	3.733671	0.9648007	1.963866	0.6263548555555555
TFDP1	-6.1128782	2.9930146	-4.848753	-1.4081216	-4.8770832	-0.9215013	-1.167571	-2.4700632	-1.067602	-2.2089509888888887
DRD4	6.103819	0.4482262	2.7124111	3.3440481	-1.5016133	1.6663374	-0.66283	-0.8611897	0.726915	1.330680422222222
PF4	6.1012891	2.7276487	2.6659878	4.3542838	3.403588	1.8557484	5.164288	2.7308259	1.476457	3.386679633333333
PKDCC	-6.0878437	-0.5679276	-3.2785368	-2.4992795	-2.9105517	-0.7335126	-6.450959	NA	-1.660172	-3.0235978625
