Gene	GSE109248	GSE117239	GSE117468	GSE13355	GSE136757	GSE137218	GSE14905	GSE193128	GSE30999	Average
TNIP2	11.1748169	10.7500584	2.0116761	13.0856729	6.44	3.09	3.29	3.76	9.88	7.053580477777777
ADD3	-11.1677641	-14.4769272	-8.0659795	-14.0300386	-7.35	-9.21	-6.37	-8.81	-1.28e+01	-10.253412155555555
GGA1	11.1244248	4.3825089	-2.8702726	5.7377823	3.47	-7.06e-01	5.37	1.78	4.19	3.608715933333334
PLA2G2F	11.0006126	6.4494251	8.4431161	13.5484245	2.71	8.25	8.73	1.35e+01	6.88	8.83461981111111
RGS12	10.9992535	12.2040149	5.4816247	13.8640096	4.23	1.38	4.94	2.46	1.06e+01	7.350989188888889
RAB24	10.969918	15.0364981	3.1949686	15.115907	5.40	3.33	6.16	4.64	1.39e+01	8.638587966666668
NLGN1	-10.9655889	-3.820833	-5.5483287	-7.0400308	-3.88	-4.95e-01	-3.09	-2.89	-4.51	-4.693309044444444
S100A7	10.9442879	15.3553146	5.5579173	22.1217873	6.40	5.89	1.43e+01	9.21	1.41e+01	11.542145233333331
CSTF1	10.9307059	10.7451492	4.3169456	5.8279496	4.65	1.12	1.75	3.10	9.37	5.756750033333333
PDZK1IP1	10.9122816	15.3126459	8.3589253	36.3904125	7.52	6.76	1.02e+01	1.92e+01	1.36e+01	14.250473922222223
IL17D	-10.8785181	-9.0583237	-7.8295836	-10.337142	-6.14	1.00	-1.52	3.41e-01	-8.00	-5.824729711111112
LYPD5	10.7965667	19.0718701	5.859671	13.9884888	8.54	1.93	7.33	6.38	1.68e+01	10.077399622222222
EXO1	10.7325639	16.944905	6.7365332	12.0127745	8.45	7.31	6.47	1.01e+01	1.37e+01	10.272975177777777
AR	-10.7287525	-12.1483335	-7.6079974	-15.4045722	-5.80	-3.96	-6.69	-4.71	-1.01e+01	-8.572183955555554
GLYCTK	10.7065691	8.2611025	4.6467094	9.111881	5.91	1.59	1.87	1.37	7.78	5.694029111111111
FAM83A	10.6921678	27.4408233	12.7926017	18.1627534	1.21e+01	6.36	4.88	9.55	2.16e+01	13.730927355555552
PPARD	10.6270795	24.4391243	8.8437403	19.3686058	1.40e+01	8.20	1.36e+01	1.41e+01	2.20e+01	15.01983887777778
SHC1	10.6169746	17.8036578	8.8207803	15.139682	7.34	5.33	4.04	7.39	1.52e+01	10.1867883
HAS3	10.6084447	19.4701955	11.8981566	20.9334559	9.25	3.84	3.50	8.07	1.56e+01	11.46336141111111
E2F1	10.5997555	7.5646555	3.1309722	8.6506859	5.72	2.15	3.71	2.51	6.06	5.5662299
SERPINB3	10.5862426	22.9727998	11.6258426	50.722247	1.16e+01	1.13e+01	1.90e+01	1.19e+01	2.06e+01	18.923014666666667
IL36G	10.5673856	24.0556038	12.8233288	52.1245194	1.52e+01	1.18e+01	1.45e+01	2.63e+01	2.08e+01	20.907870844444446
GLTSCR1L	-10.5636114	-10.2904824	-9.0531498	-14.4690458	-4.03	-5.55	-1.01e+01	-7.04	-8.76	-8.872921044444446
B4GALT2	10.556635	-0.9089369	-1.8532333	2.6474772	-1.51	-2.00e-01	1.74	-9.72e-01	-1.68	0.8688824444444445
SPRR1B	10.543313	13.4266426	6.8735462	25.2096165	1.13e+01	9.72	1.40e+01	1.43e+01	1.25e+01	13.097013144444443
RABL6	10.5341752	3.9702241	5.6283235	8.3767691	6.42	NA	6.02	NA	2.78	6.247070271428571
DKK2	-10.532457	-7.1684976	-5.5008938	-10.2064469	-4.68	-5.07	-1.90	-4.23	-5.50	-6.087588366666667
IFI6	10.4483962	18.3875521	9.37985	16.2648371	1.37e+01	9.12	6.45	1.31e+01	1.67e+01	12.616737266666668
HIST1H2AM	10.4412841	2.7265444	-0.8250075	4.5636734	4.00e-01	4.83	9.30e-02	7.80	1.28	3.478832711111111
MAPKAPK2	10.4226377	5.5131202	8.0129547	6.8918866	3.93	2.93	3.06	3.34	5.30	5.488955466666667
GPSM1	10.4196443	10.5330742	2.0932586	6.4348342	5.50	2.59	3.88	1.07	9.26	5.753423477777778
LSM7	10.3661562	6.4770584	3.9689227	14.3390348	1.95	3.46	2.22	4.29	5.94	5.890130233333333
RELT	10.3588446	5.728408	3.1855949	11.7300735	8.34	1.36	1.48	2.87e-01	5.64	5.345546777777777
PSMC3IP	10.3352748	5.7091246	0.9910209	5.6013886	2.29	1.58	2.85	1.98	6.16	4.1663121
MCM7	10.2297685	4.6601478	1.6201751	12.1150242	1.76	2.46	9.35	5.72	4.53	5.827235066666667
CDC42SE1	10.2131401	17.0994647	9.3696126	17.4204555	7.96	4.95	4.41	6.44	1.45e+01	10.26251921111111
XDH	10.2028369	23.4779867	8.6022459	15.7539537	1.05e+01	5.57	9.06	6.76	2.01e+01	12.2252248
TJP2	10.1610002	18.6455802	4.4306165	14.9228873	7.86	5.79	-6.01	6.79	1.69e+01	8.832231577777778
CLUAP1	-10.1330174	4.8937656	-5.7375832	-9.2256092	3.13	-1.52	-5.94	-3.38	-5.31	-3.6913826888888894
TSTD1	10.1171577	0.8778328	-4.15386	2.8809766	-1.79	3.74e-01	2.12	2.12	1.34	1.5429007888888888
TP73	10.1139529	2.1584583	2.329801	3.6250672	1.01	8.82e-01	-1.03	1.76	1.71	2.5065866000000003
AIM1	10.1097503	10.1093913	3.7051264	8.708857	5.96	6.64	3.64	9.11	1.01e+01	7.564791666666666
TUBG1	10.0792059	15.9106802	5.0572763	18.8243097	9.64	5.05	8.07	8.43	1.45e+01	10.617941344444445
ARL11	10.0640191	NA	2.1462627	8.7396699	2.57e-12	1.81	8.04	4.21	2.41	4.677493962500321
MED7	-10.0616474	3.5905994	3.322809	4.3885316	1.48	-1.80	-2.78	-1.39	3.65	0.04447695555555563
ZMYM6	-10.0508529	6.8298655	-4.8851066	-4.3554754	3.89	NA	6.94	NA	6.48	0.6926329428571428
CD7	10.050626	NA	5.6049615	9.4825445	4.04	1.56	2.56	-2.01e-02	2.23	4.438503999999999
SGTA	10.0483354	4.2631147	-1.5783618	5.6798079	9.58e-01	1.21e-01	-4.79e-01	8.49e-01	3.29	2.5724329111111106
CSNK1E	10.0454113	15.5240912	2.8168243	7.5895601	5.26	-1.15	7.60	2.55	1.38e+01	7.115098544444444
CDC42SE2	10.0332145	6.723996	7.5768813	5.9180525	4.99	2.28	2.94	2.45	6.10	5.445793811111112
SEMA4B	9.9857949	14.171833	5.0539608	10.4276028	7.11	3.18	-9.04e-02	4.99	1.29e+01	7.525421277777777
TET1	-9.9378273	-7.9089484	-4.2681438	-12.789972	-5.77	-1.77	-5.83	-7.29	-7.61	-7.019432388888889
DIP2A	9.9369308	9.4823666	-3.7899492	-6.1451219	-3.49	-2.68	-2.66	-1.31	8.08	0.8249140333333332
OAS3	9.9205062	23.0041491	9.7896681	20.0049047	1.52e+01	8.11	1.05e+01	9.10	2.06e+01	14.02546978888889
EPHA2	9.9150792	17.915491	11.7880267	21.7938005	1.06e+01	5.16	4.31e-01	7.88	1.56e+01	11.231488599999999
COPE	9.9121981	8.602599	2.1653152	13.6669893	2.23	2.06	2.19	4.78	8.15	5.9730112888888875
DTWD1	-9.9098491	-10.5272119	-5.1539314	-11.4319704	-5.17	-6.50	-3.40	-6.53	-9.74	-7.595884755555556
SLC26A9	9.8995854	27.300466	11.4346977	19.3996826	1.13e+01	8.33	1.10e+01	9.52	2.20e+01	14.464936855555557
CHCHD3	9.8638253	2.5813453	3.7137754	10.7574974	1.76	4.70	2.80	4.96	2.63	4.862938155555556
RAX2	9.8281818	NA	0.5185586	0.5608236	7.50e-01	7.58e-01	-8.79e-01	1.03	-1.50e-01	1.5520705
RANBP3L	-9.8193616	NA	-1.7209955	-1.7337241	-1.00	-2.37	7.24e-01	-4.06	8.35e-01	-2.39313515
ZC3HAV1	9.7817087	18.3410715	8.6748773	16.9308581	1.02e+01	4.82	1.08e+01	5.67	1.73e+01	11.390946177777776
ATP8B1	9.7748488	-6.1257036	5.5854379	2.988777	-5.13	5.96	-1.76	-5.60	-6.08	-0.04295998888888914
EIF4H	9.7556044	9.9018302	4.7945104	9.8345828	4.33	1.22	4.37	3.05	8.79	6.227391977777777
IRF7	9.740644	21.2437496	6.5686867	24.5563517	1.11e+01	4.40	7.35	5.35	1.89e+01	12.134381333333332
HIST1H3G	9.7004557	NA	4.3601481	5.7823166	6.00e-01	4.78	-1.20	9.44	1.16	4.32786505
MCRIP2	9.6761332	NA	1.7327202	2.3689863	-1.21	NA	-2.73	NA	5.43e-01	1.7301399499999999
HIST1H3A	9.6555398	NA	1.3404481	1.9867172	1.00	4.74	2.46e-01	9.94	1.23	3.7673381375
CAT	-9.6532401	-14.3621482	-5.9898106	-14.0664064	-7.43	-8.33	-3.97	-6.85	-1.23e+01	-9.216845033333332
KIF23	9.6484355	15.823331	8.523854	12.4865526	7.17	7.41	9.30	8.16	1.38e+01	10.258019233333332
RFXANK	9.6454676	0.5925901	-1.4951826	8.9376516	5.51e-01	1.55	6.10	2.72	6.60e-01	3.2512807444444447
TMEM178A	-9.6434534	-8.7177862	-9.4333273	-10.7231919	-5.59	-1.35	-5.80	-2.64	-8.02	-6.879750977777778
IL36RN	9.5944797	18.9946604	7.2091748	25.7465514	1.34e+01	1.01e+01	1.22e+01	2.06e+01	1.64e+01	14.916096255555557
E2F8	9.591819	12.3528306	4.998554	12.2688236	4.65	4.31	8.39	9.10	1.08e+01	8.495780799999999
AP3D1	9.5750249	10.3120025	4.3987726	10.8140504	7.36	1.91	6.93	3.96	9.57	7.2033167111111105
USP43	9.5461958	6.1882513	5.3352808	8.4155722	2.64	1.52	2.24	4.98e-01	5.75	4.6814777888888885
LDB2	-9.5394773	-10.110923	-3.3326942	-7.9831521	-3.18	-2.35	-6.90	-3.89	-9.83	-6.3462496222222216
TMEM169	-9.5246245	-1.144791	-0.4181647	-0.1132886	-2.61	-5.61e-01	-8.80e-01	-1.79	-1.49	-2.0590965333333333
CHAD	-9.5178762	-0.6373029	-8.455772	-8.3072836	-9.68	-6.16	-6.90	-4.27	-2.39	-6.257581633333334
PML	9.5164957	11.3925223	5.5633483	13.8739844	9.01	3.01	7.36	5.74	1.09e+01	8.485150077777778
MAFF	9.5142738	9.5978158	2.106863	6.930174	2.51	4.67e-01	-5.93	-3.99e-01	8.95	3.7496807333333333
FTSJ1	9.5059349	13.7024715	5.4272856	15.8493863	4.35	1.21	1.03e+01	3.46	1.18e+01	8.400564255555558
EPS8L2	9.4997652	7.5846422	2.0523095	11.1342163	3.72	2.17	5.65	2.11	7.41	5.703437022222222
MAD2L1	9.4987931	14.5862618	7.8474413	20.2599522	8.14	7.27	1.14e+01	9.49	1.25e+01	11.221383155555555
MPST	9.4933287	-4.496264	-3.3385004	-3.1884691	-2.23	-7.40e-01	-1.89	-8.91e-01	-4.20	-1.275656088888889
ITGA9	-9.4916272	-12.6414871	-7.4957891	-11.4920824	-6.31	-2.29	-1.61	-6.25	-1.05e+01	-7.564553977777779
CACNA2D2	-9.4876037	-2.4907836	-5.4044979	-13.3452058	-5.72	-4.68e-01	-4.51	-1.84	-4.16	-5.269565666666667
LPIN2	9.487156	7.708875	5.5746909	4.1954263	7.87	3.38	3.50	2.17	7.03	5.657349800000001
SCRIB	9.4601117	8.2754986	-1.3460253	7.7070936	6.50	4.12	5.44	3.31	7.62	5.676297622222222
SFT2D2	9.4529262	24.1794584	8.1973044	23.4493895	1.24e+01	3.57	1.14e+01	3.38	2.02e+01	12.914342055555556
RCC1	9.3515381	12.9475682	8.2904394	14.341507	8.18	4.53	5.73	7.05	1.16e+01	9.113450299999998
SMAD5	-9.3502658	-9.2384468	-5.0677044	-10.1095207	4.41	-6.70	-7.10	-8.21	-7.01	-6.4862153000000005
INO80	9.3480761	0.9813107	1.0992972	-3.9771305	4.44e-01	-2.14	-2.85	-1.02	-5.58e-01	0.14750594444444456
TMEM57	9.3238427	25.4063644	9.7516234	15.0170085	1.18e+01	7.21	8.17	1.02e+01	1.98e+01	12.964315444444445
MFHAS1	9.3200192	17.9969569	9.1719097	19.2488006	1.10e+01	9.89	9.58	1.27e+01	1.54e+01	12.700854044444446
TAPBP	9.2665448	1.4899807	3.9940648	11.3355374	2.08	1.57	1.79	1.51	2.60	3.959569744444444
KIAA1328	-9.2608952	-3.3508486	-7.1015109	-6.2442846	-5.22	-6.22	-3.90	-6.33	-3.44	-5.674171033333333
TRAF7	9.254322	8.9212275	4.642236	9.687277	5.85	-2.88e-01	5.03	3.16e-01	8.65	5.7847847222222235
CCDC97	9.2460336	6.0056379	1.6122019	5.1493892	3.30	-8.62e-01	2.20	-8.81e-01	5.12	3.4322514
TEX101	9.2405974	19.7791881	8.3558486	16.8507103	1.07e+01	3.48	6.29	3.02	1.88e+01	10.724038266666668
RMI1	9.2160136	1.8100981	4.1057157	1.4458388	3.54e-02	9.46e-01	2.05	2.12	1.83	2.617674022222223
HHATL	-9.196036	-0.812514	-3.8521305	-6.2255895	-3.12	-3.03	-2.02	-3.07	-2.15	-3.7195855555555557
AMPD3	9.1850801	19.2002018	7.2385226	15.9744529	1.10e+01	8.02	7.89	7.24	1.66e+01	11.3720286
DICER1	9.1802047	3.0958033	5.6683483	4.4131557	3.28	2.93	3.62	3.35	3.52	4.3397235555555564
NTM	-9.1655776	NA	-0.0184867	2.6656328	-7.03e-02	-3.45	-6.92e-01	-7.10	7.66e-01	-2.1330914375
CSF2RB	9.1457443	9.7312377	7.0595535	14.3017544	5.38	2.62	6.35	2.88	9.16	7.403143322222222
CHPF2	9.1445572	6.2619476	-1.6049848	6.1443557	1.74	1.54	4.20	8.34e-01	5.88	3.793319522222222
NOL6	9.1375107	9.8340122	3.0953212	9.4166608	5.05	1.77	4.47	2.12	8.97	5.984833877777778
TMEM160	9.1305083	0.1442788	-2.1113394	10.7201794	2.31e-01	9.26e-01	6.75	1.77	1.10	3.184514122222222
TCF19	9.1298999	11.4372985	3.0046966	11.8677201	8.24	1.66	7.96	3.57	1.06e+01	7.4966238999999995
ERN1	9.1269784	12.0458082	3.7528873	8.6467974	9.58	-1.48	1.26	-3.73e-01	1.04e+01	5.8843857
ZDHHC13	9.1257765	11.8348124	6.9897056	12.5948389	4.33	6.56	3.39	1.06e+01	1.10e+01	8.491681488888888
NFKBIZ	9.1245339	11.4675455	9.7446223	24.1817399	6.00	5.69	5.63	7.40	1.04e+01	9.959826844444445
TTC39A	9.1218572	24.0891182	8.8891554	29.8416722	1.27e+01	7.17	1.35e+01	1.04e+01	2.05e+01	15.134644777777781
ATP13A4	9.1188537	20.2169185	7.6888404	12.4206985	1.09e+01	5.21	7.47	7.03	1.87e+01	10.972812344444444
UBFD1	9.1185131	6.4745712	6.3776632	5.5418496	3.69	9.28e-01	-1.28	3.39	6.33	4.507844122222221
GJB2	9.1109694	29.9232876	15.6894715	34.8235679	1.54e+01	1.25e+01	1.17e+01	2.06e+01	2.37e+01	19.271921822222218
ALDH3B2	9.1055837	11.1089801	7.0540375	10.1489931	4.41	1.54	1.11e+01	1.43	1.05e+01	7.377510488888889
NECTIN2	9.0773772	7.9266896	2.2035793	4.8750219	8.42e-01	NA	-2.69	NA	6.50	4.104952571428571
COTL1	9.0708671	9.1677161	8.5836921	15.4211259	9.77	3.96	7.84	5.05	8.73	8.621489022222223
CCL22	9.0567129	11.6314673	5.354759	16.0328084	5.59	4.43e-01	6.69	1.80	1.06e+01	7.46652751111111
NR4A3	9.0407156	14.8345334	8.6451333	11.01934	9.38	4.33	-2.14	5.89	1.28e+01	8.199969144444445
TRMT10B	-9.0331371	-8.9540508	-1.420934	-6.1927312	-7.33	-1.72	-3.03	-8.50e-01	-8.03	-5.173428122222223
DOT1L	9.0287192	8.1645052	-2.3036197	7.8702589	3.59	2.84	4.86e-01	2.07	7.67	4.3795404
RAB27A	9.019951	26.6299229	14.6267842	29.7917122	1.30e+01	7.24	1.08e+01	8.45	2.23e+01	15.762041144444444
SNW1	9.0144681	-2.2642289	-5.888108	-5.6238695	1.61	-3.79	-7.29	-5.70e-01	-1.54	-1.8157486999999999
NDUFA4L2	9.0057852	-0.1547482	-2.7173196	-2.2190743	-8.89e-01	-4.43	8.26e-01	-1.88	-2.38e-01	-0.2995952111111111
BAIAP2	8.9965363	11.5178729	-3.1238733	7.7166777	6.23	-2.93	4.34	-6.51e-01	1.08e+01	4.766245955555555
R3HCC1L	8.9918983	10.2516535	4.3751926	12.5203551	6.97	2.22	-2.25	4.69	9.83	6.399899944444444
KIF14	8.9860212	17.2778994	8.0841586	15.9478816	8.44	6.37	9.04	9.65	1.54e+01	11.021773422222225
CAPN15	8.9651358	10.9495282	3.6475324	7.576617	6.26	8.22e-01	9.62	8.00e-01	9.23	6.430090377777778
ALDH1A2	-8.9557901	NA	-1.5527652	3.4352495	-1.15	1.87	-2.22	-1.08	2.85e-01	-1.171038225
CRISPLD1	-8.9490854	-16.4168791	-5.6970673	-9.0865569	-7.94	-2.77	-6.75	-4.07	-1.42e+01	-8.431065411111112
ZPR1	8.9368146	9.0656628	6.4699057	16.1054271	6.23	5.45	3.15	5.71	8.54	7.739756688888889
FAM111B	8.9275799	14.6376002	7.3806772	12.5197286	8.99	7.02	2.21	1.19e+01	1.23e+01	9.542842877777778
PSMC4	8.9249575	20.3416942	8.9641414	20.7142737	6.92	5.69	9.78	6.26	1.70e+01	11.621674088888888
UCK1	8.9204205	3.1565441	5.234009	3.4055441	-3.12	1.34	4.37	1.83	2.19	3.0362797444444443
IL21R	8.9113479	7.534985	8.3987221	12.2477853	7.78	2.06	2.61	1.89e-01	7.01	6.304648922222223
ATXN2L	8.9086084	4.7077472	1.9633864	4.8387497	-1.36	-2.98	-1.92	-2.74	-3.71	0.8564990777777779
NCK2	8.9083767	8.4120687	1.3262534	1.9118639	6.04e-01	-6.95e-01	5.46e-01	-1.36e-01	8.58	3.273062522222222
NEU2	8.8946603	NA	0.4608339	8.8361302	2.39e-01	5.93	3.55	9.23	2.30	4.9300780500000005
G6PD	8.8676261	12.3621238	7.2630035	6.5350793	2.79	2.48	5.63	2.38	1.07e+01	6.556425855555556
PPARGC1A	-8.8591475	-17.7247108	-6.2331637	-13.5097718	-7.31	-6.19	-1.04e+01	-1.04e+01	-1.55e+01	-10.680754866666668
BCL9L	8.8492279	0.531218	-4.5723747	-3.4596201	-1.19	-5.64	-4.52	-3.22	-1.53	-1.6390609888888887
S100A7A	8.8448936	43.8170558	15.4142762	67.4291576	1.36e+01	1.12e+01	1.74e+01	1.24e+01	3.09e+01	24.556153688888887
MROH6	8.8448154	12.1341335	0.4691789	4.4412637	4.30	4.88e-02	2.47	1.34	1.07e+01	4.972021277777778
SLC31A1	8.8408649	15.3546271	4.87016	9.589692	5.32	3.51e-01	6.64	1.37	1.37e+01	7.337371555555555
NOP2	8.8391789	9.9412034	1.6584338	15.3879157	5.90	2.27	4.62	2.47	8.62	6.634081311111111
ADRA1B	-8.8321451	NA	1.469107	-0.0906098	0.00	-8.68e-01	-3.27e-01	-1.10	6.70e-01	-1.1348309875
SPG20	-8.8066896	-11.9021837	-8.5246045	-13.3560293	-6.51	-4.20	-7.44	-4.96	-9.98	-8.408834122222224
RCE1	8.7962339	3.9492286	3.5194898	8.693508	-2.07e-01	-2.02	3.36	-2.44	3.61	3.029051144444444
SH3BGRL2	-8.7748146	-12.2889052	-6.6885254	-12.5257801	-7.74	-2.35	-7.55	-1.05	-9.76	-7.636447255555556
ARAP1	8.770609	-1.7918788	-2.2925123	6.4524819	-1.41	1.19	8.17e-01	1.07	-1.90	1.2117444222222222
GTF2I	8.7628065	1.2279308	4.8062664	3.1735685	1.90	1.03	2.49	6.48e-01	1.43e-02	2.6725413555555555
MAP6	-8.7522569	-12.3163833	-9.0549903	-9.1228782	-1.14e+01	-2.31	-5.71	-7.11	-1.13e+01	-8.564056522222224
ZFP2	-8.7504235	-7.6590495	-9.4869211	-11.0108649	-6.81	-1.14	-4.00	-2.15	-7.31	-6.479695444444444
ZNF626	-8.7425337	-10.4627576	-8.0829408	-10.9151956	-6.27	-5.73	-5.02	-9.69	-9.66	-8.285936411111111
SLC39A3	8.7331387	2.7164611	-3.0426969	4.9138646	4.38	2.34	1.79	1.81	3.28	2.9911963888888886
LCE3D	8.702976	15.3099855	6.7436328	40.2268467	1.15e+01	1.01e+01	1.89e+01	1.87e+01	1.40e+01	16.02038233333333
NDUFB6	8.6883804	6.1418983	-4.6811668	10.7177022	2.83	4.15	8.22	5.76	6.33	5.350757122222221
USP32	8.6848768	15.7286178	3.2834614	13.6945383	9.09	4.91	2.76	7.85	1.50e+01	9.000166033333333
P2RY2	8.6840189	11.7196888	4.7870533	12.7961969	7.03	1.91	8.78	2.65	1.09e+01	7.695217544444445
AP1B1	8.6834412	10.1407209	0.2708173	9.2695372	2.68	3.58	6.27	4.73	9.97	6.177168511111112
GPS1	8.6749516	0.5301169	-1.1025333	8.7522498	1.10	8.52e-01	2.15	2.50	3.79e-01	2.6484205555555556
WNT5A	8.6743191	25.9865482	14.7689978	29.0654319	1.25e+01	9.04	9.66	1.79e+01	2.16e+01	16.57725522222222
GGA3	8.6740726	2.6760037	-3.2679757	-4.3282187	1.36e-01	-2.34	-3.61	-1.27	2.62	-0.078902011111111
ATF6B	8.668594	-3.3710294	4.9327561	-5.1517303	3.58	-4.58	-3.93	-3.38	-3.38	-0.7346010666666665
BEND3	8.6669898	10.6439212	5.5872045	4.9429069	3.32	1.30	2.79	1.71	9.51	5.385669155555554
C5orf46	-8.6655838	-10.8915449	-9.2847005	-23.610513	-7.82	-6.69	-5.59	-9.68	-9.24	-10.163593577777778
FCF1	8.6343112	-10.3910157	-3.3552665	-7.6522199	3.33	2.32	3.94	4.67	-9.34	-0.8715767666666666
CPNE8	-8.6291035	-4.6326768	-2.7713182	-8.1812197	-3.63	-5.07	-8.30	-4.42	-4.05	-5.5204797999999995
REPIN1	8.6137623	4.4865448	-0.9424633	4.9497451	1.81	1.10	4.07	-2.70e-01	4.68	3.1663987666666666
NRP2	8.591974	9.7756148	5.5948188	8.0478359	4.08	9.69e-01	-1.88	2.49	8.61	5.142138166666666
KCMF1	8.5817684	10.7759726	-7.4262719	13.7553035	-6.68	3.34	-6.21	2.93	1.10e+01	3.340752511111111
NUP62	8.581393	6.7926014	5.6731877	5.05778	5.14	7.15e-01	3.47	5.95e-01	6.53	4.728329122222223
CCDC88B	8.5771629	8.9535845	3.0874974	6.293289	6.32	3.98e-01	1.10	9.06e-01	8.15	4.865059311111112
GRB7	8.5771016	5.6870209	2.4500141	6.5544784	3.50	-6.11e-01	-5.31e-01	1.64	4.91	3.5751794444444442
ZNF398	8.5665185	4.2106459	3.9733755	-3.8293122	4.64	-2.44	3.74	-2.24	4.08	2.3001364111111107
