Gene	GSE100163	GSE110169	GSE110174	GSE11907-96	GSE11907-97	GSE121239	GSE138458	GSE17755	GSE185047	GSE22098	GSE29536	GSE49454	GSE65391	GSE72326	GSE8650-96	GSE8650-97	GSE88884-1	GSE88884-2	GSE99967	GSE108497	Average
PARP14	7.412776	8.4305343	4.1621984	NA	3.850695	6.3438781	3.2791693	NA	12.007896	8.86	11.863835	6.5152499	1.06e+01	6.3936819	NA	6.45218	5.779507118	7.855284873	3.9736775	18.1362131364079	7.759810383965171
SHISA5	7.386363	8.0071546	5.513477	NA	2.2226	3.9453831	3.2447452	NA	5.1172252	2.91	8.824572	4.6269998	1.13e+01	4.6478575	NA	3.512894	6.981973697	9.240880407	2.8269971	14.5704367858135	6.169385846459618
PARP9	7.326158	9.8825388	5.5628529	NA	5.180393	5.3978097	3.0345685	9.009194	17.0237676	6.79	14.028914	8.9666153	1.38e+01	8.8818457	NA	7.832307	6.953594871	10.17135092	6.0349856	13.5330290520465	8.85610694128036
PHF11	7.320677	8.7375024	2.8239348	4.6800078	-0.360648	4.5804205	2.8165089	NA	4.0240961	7.14	9.259221	5.6700591	9.30	5.462037	1.2170053	-0.837202	5.362905592	6.28504826	2.8214266	14.9850208161198	5.33094848253262
OAS3	7.251893	13.5425818	4.4568896	8.016138	5.464829	5.0779824	2.8621419	NA	15.3080469	1.21e+01	16.555887	8.2932106	1.30e+01	8.1927994	7.6760897	5.592233	6.765115551	9.477777473	3.762325	20.2339402111319	9.138414765006942
SP110	7.196127	6.6774836	5.4497087	4.3405376	0.621737	4.4780092	3.3331508	5.3758	12.409409	7.04	11.924617	5.2415999	1.15e+01	5.194292	1.1420144	-0.078698	5.641259326	7.025123205	3.9753944	10.2188950745764	5.93532301027882
ADAR	7.187036	6.7860066	5.6049476	6.5299534	NA	2.1499143	4.5637165	NA	4.7056113	5.12	8.440466	6.2820453	1.07e+01	5.9741145	2.8300694	NA	5.846294663	9.547321324	3.3443876	14.5904041011583	6.482487564009311
TRIM22	7.171818	11.3056757	2.7794665	6.2278353	NA	3.4943416	2.2271953	NA	3.7941716	8.75	13.923385	6.1820838	1.25e+01	6.138607	3.898405	NA	6.532745187	9.652055415	7.0723119	13.177388631061	7.342793290180058
PABPC1	-7.136528	-5.21181	-2.5740513	0.6425074	NA	6.6621061	2.7857102	-3.202535	-4.9870853	3.44	-6.151894	-2.7053115	-7.10	-2.9450939	-5.1515652	NA	-1.861518775	-4.760633855	-0.5560651	-5.24633550184754	-2.5588946517693083
NLRC5	7.114571	5.3252051	-0.8815516	NA	-0.008418	5.502838	2.3366964	0.941664	0.8069251	2.37	8.548463	1.377827	5.27	1.0883228	NA	1.665234	2.99530421	4.312658253	1.6151379	4.38470689414453	3.04253244761914
OAS1	7.03414	14.0226735	4.12883	7.1543821	NA	5.9687642	2.9533028	8.433065	10.8361534	1.11e+01	16.87688	7.9425346	1.27e+01	8.1131566	6.4707848	NA	6.798342782	10.52271163	4.0306523	20.0526355578882	9.174389403882678
OAS2	7.029172	11.8519223	4.2026591	5.6298735	3.721541	6.4782545	4.8741073	NA	11.1840879	1.02e+01	18.613861	7.0349846	1.07e+01	7.036305	7.1396378	5.200832	6.378745281	9.219990112	3.3688638	17.0763723623532	8.260063660808065
DCAF11	7.020779	6.033624	3.5097305	-1.0977936	NA	12.674538	2.4686727	NA	6.6269865	5.71	-0.565756	1.4322661	2.82	1.2889332	5.1671891	NA	2.979958319	10.93642597	3.1152678	3.81972775524493	4.349444079073231
ZBP1	7.003359	10.7918252	4.0594125	1.6422272	2.689703	3.1766024	1.9870177	1.875296	11.6699212	8.23	19.027305	6.3915839	1.30e+01	6.2936704	4.289348	2.232667	6.089690539	9.156826182	3.3801174	20.1957284622996	7.159115054164981
ISG15	6.984105	14.477563	3.8662631	6.5866287	NA	4.4815941	2.3961673	13.426362	12.5647923	1.02e+01	14.919379	8.119988	1.15e+01	8.1281087	5.7684073	NA	4.707330675	7.784694877	3.2233699	20.5135145748811	8.869348251493395
TOMM7	-6.920509	NA	NA	NA	NA	NA	-3.5042298	0.461912	NA	-3.55	-10.882466	-3.3005056	-8.88	-3.1688849	NA	NA	-3.962987298	-2.645972316	-1.4615016	-9.06927402283892	-4.7403682114032435
IFIT2	6.884039	10.1026005	5.4469318	4.0474841	3.645054	4.1431801	1.3237275	NA	14.6102591	6.18	15.527034	7.1509572	1.48e+01	7.0662106	4.9620423	4.522839	6.169217018	10.11295818	4.1215394	14.8327234278235	7.665726169780184
STAT1	6.87051	8.2315959	4.6733356	4.7552569	2.875552	7.3080161	2.7866599	1.512048	13.2202194	8.56	14.186377	8.4208153	1.26e+01	8.279068	4.8016364	4.210676	6.313936915	9.767599165	4.8060117	14.2482846895276	7.42137994847638
PARP10	6.811581	6.916567	3.0454394	NA	2.352556	5.3772055	2.3962675	-1.313305	4.8056399	5.92	9.464714	5.5381479	8.24	5.3679849	NA	3.765267	5.412006224	7.041081139	1.7774197	14.9753560130987	5.438551565338816
CEACAM1	6.792087	8.2297418	5.6281353	3.5305754	NA	5.0883167	4.1857672	NA	9.9116129	3.88	12.412135	5.5605811	1.14e+01	5.5101253	4.8232144	NA	7.298355761	5.355875742	3.8571861	11.5752432377406	6.76699723180827
LGALS3BP	6.705821	8.7986256	3.8390859	3.5519049	NA	4.535728	3.6654173	NA	5.7897668	5.79	11.192304	6.35923	7.20	6.3395074	5.1798868	NA	4.746578813	7.05516619	3.1339317	12.1373303624055	6.2364873391415
CTRL	6.683457	5.6385441	1.4809022	-1.0357548	NA	4.0447462	1.1496711	NA	-3.0421932	7.65e-01	4.478484	1.5814636	2.98	1.5910903	2.8740333	NA	1.54232472	-1.522685743	0.8398948	6.37287395686797	2.14246185493341
PARP12	6.668643	11.0319918	2.7250242	4.3662755	NA	6.1561592	3.58245	3.227924	9.8878918	8.99	11.912383	6.2798588	9.47	6.2049512	6.7452837	NA	5.990729369	7.945459513	2.802041	17.5174923866091	7.305808803811617
KLRB1	-6.631921	-3.8159379	-2.9336814	-3.9700523	NA	-3.3669289	-2.3314867	-3.740437	-5.4899443	-2.27	-11.880165	-6.8364399	-1.09e+01	-6.7726415	-5.3081143	NA	-4.958057601	-4.567539871	-2.614238	-13.6978169435834	-5.671411256421301
TRIM25	6.60962	5.108258	5.0371164	1.4480158	2.139523	1.9822289	3.8316065	2.790691	14.8620607	3.32	5.608538	4.3959725	8.50	4.2572474	0.2893237	3.456474	6.019382412	6.544174192	3.8332076	8.0795271430903	4.905648362354515
BTN3A1	6.600085	3.3193239	1.9404419	-1.5537329	NA	9.0853556	1.5811661	1.765623	9.5733903	4.48	4.530072	2.3784786	5.05	2.1948008	-4.4787171	NA	2.824043079	7.012947851	2.7982944	9.30355444327675	3.8002848318487086
SCO2	6.571491	9.264146	2.5322979	5.9079193	NA	6.4816736	0.4159201	NA	2.4941961	4.55	7.592002	5.9526678	1.03e+01	5.9425831	6.7622643	NA	4.694034834	3.776639549	2.1025882	13.4927036312865	5.813713377310971
EIF2AK2	6.559328	11.809444	5.167625	5.8826046	3.557341	5.4917444	2.6588699	-10.846306	10.226056	1.10e+01	19.114067	8.3249128	1.31e+01	8.225184	9.5032113	3.033833	7.50537226	10.53776967	4.9234462	18.9198382508585	7.734717069042925
RBCK1	6.516094	5.2594588	4.3514627	-2.3258777	0.960459	8.644893	2.1372523	NA	-2.3869203	3.23	5.116049	2.5893777	7.50	2.6258151	1.462732	1.668505	4.023389687	4.868706953	1.5458742	12.3115697396434	3.6894126936654423
NTNG2	6.499839	10.9099466	4.2240419	NA	1.896134	3.5994177	4.4770761	NA	9.2760541	NA	13.571574	4.301949	2.63	4.4006101	NA	1.803245	4.82810134	5.49587288	4.104414	12.7984546474216	5.92604564796385
IFITM3	6.454654	10.4755654	6.3339303	5.6551172	NA	4.2938453	3.6669559	NA	5.9564368	8.67	15.465855	7.4250528	1.45e+01	7.4692605	5.4963911	NA	7.666248174	9.901567854	2.537251	18.7459004010129	8.277295984059583
BATF2	6.429497	8.5784862	3.9053418	NA	2.619079	4.0663795	2.783077	NA	7.2919675	NA	11.079882	6.2098317	5.39	6.1081861	NA	5.092056	4.608225512	6.171449849	3.9289143	17.5286198726316	6.361937083351975
MX2	6.374474	7.3585993	5.4399322	6.9448792	NA	9.445059	2.7915541	9.934949	4.8306306	4.65	9.126601	6.2022673	1.21e+01	6.023234	7.317826	NA	NA	NA	3.2593963	16.2077682704886	7.375448141905538
RTP4	6.370772	11.7855552	3.6213084	2.6085564	NA	2.9803525	3.1446777	NA	7.6403596	7.89	14.844122	6.924315	9.38	6.9853076	2.5701095	NA	6.266030887	9.205179837	4.0211675	16.3658262833644	7.2119788474920234
HSH2D	6.357646	7.1340075	2.5798901	NA	NA	3.4093926	2.7117171	NA	7.7817264	4.54	7.312701	3.5458567	7.34	3.4070239	NA	NA	2.477655876	6.583660025	0.6795444	15.4157685687164	5.41843934464776
SP100	6.346624	8.6332994	4.9176588	4.2089608	0.089179	4.4652316	3.4418816	6.824466	13.5806753	1.04e+01	11.482989	4.3855151	1.09e+01	4.3853172	4.9072315	-0.432792	6.092453832	8.46054463	4.9287085	13.3416422905264	6.56797932762632
DHX58	6.343156	11.2617036	3.3093153	3.9137674	NA	4.2423088	4.4896378	6.144922	7.1176149	8.30	12.924506	6.7574585	9.45	6.7600945	1.1854866	NA	5.284902874	7.626106376	2.9082429	18.2959184420427	7.017507888446817
TRIM5	6.250667	7.6078459	3.6251496	1.769087	1.210385	7.3200012	2.5077567	-0.973417	4.8978236	8.92	14.115411	5.2893956	9.55	5.1824844	3.5200816	2.256625	5.727821185	10.62739211	3.1957134	14.7418419845966	5.86710326397983
ZMAT3	-6.172748	-3.2280725	-2.8950745	-2.801403	-2.111739	3.5424685	-5.0754616	-0.650616	-5.2145153	2.83	-7.217239	-1.7809718	-8.60	-3.0885256	-3.069854	-2.494491	-2.2206057	-2.440503243	0.2701277	-9.29535004548638	-3.085728704424319
SYAP1	6.159692	3.0909926	3.09823	NA	0.517968	-1.6824681	-4.0685321	NA	4.6849992	3.33	-2.567442	1.1492142	3.73	0.9223049	NA	0.053813	0.110290434	4.853929487	0.2847751	4.57483430673404	1.6613294722196497
DDX60	6.151763	11.2795036	4.1007155	4.5375716	NA	4.8192169	2.7838177	NA	11.7645345	1.05e+01	16.879727	7.4929213	1.04e+01	7.5437107	3.6233588	NA	6.565110458	9.46738766	4.4346513	15.0168756516124	8.080050921741908
ZNFX1	6.134426	4.9181211	7.1274236	NA	2.536394	3.4770257	0.8311412	NA	5.72894	5.65	6.868556	5.514169	8.13	5.1612018	NA	4.332881	5.168807534	9.190628915	3.4243527	11.2447829761656	5.614050089715624
ABCA1	6.118302	6.9987527	5.2912223	1.4845296	NA	5.7761569	2.6213983	NA	4.8051145	3.78	10.170676	5.1624341	9.49	4.9336879	3.0647737	NA	4.923338504	9.14354126	4.2847881	10.8565256251777	5.817955381716336
SAMD9	6.103403	8.9233131	3.6043477	3.2374703	1.768303	5.1128102	0.4690684	NA	7.3175461	6.69	11.768409	6.5864488	8.56	6.4688341	2.0199916	2.383099	5.921092501	9.826613142	3.9867322	12.1199921874679	5.9403933858141
RPL13P5	-6.094275	0.7650989	0.1437314	NA	NA	-5.0430937	-0.6546633	NA	NA	6.13e-01	NA	-2.9771619	-7.96	-2.6375208	NA	NA	NA	NA	-1.4435697	-7.87915378054531	-3.0152370800495736
PLSCR1	6.087821	12.1089251	5.6283863	7.8221358	1.956052	4.5796869	3.0340623	0.403127	13.7993964	1.01e+01	14.396789	5.6215298	1.32e+01	5.6739056	7.611177	2.644046	8.593051832	11.99980637	5.0781251	12.4483476088093	7.639318555540465
TMEM140	6.080224	6.8384251	4.9865699	3.4635891	NA	1.6967169	0.0113964	-2.822508	5.7972725	1.67	9.097258	4.3564126	1.10e+01	4.2220533	2.707727	NA	4.64684865	9.503360672	3.5371401	13.0629541085802	4.9919689072544555
RPL5	-6.074336	-2.6278763	-3.2037182	NA	NA	-6.6408255	-2.985093	-3.121946	NA	-3.17	-10.370671	-4.0348536	-8.98	-3.8201131	NA	NA	NA	NA	-0.7849362	-10.8176849229958	-5.125542601768908
IFITM1	6.068173	9.2514124	5.6214401	4.7050879	NA	5.8616673	2.1802371	9.673018	-0.0423364	2.98	10.545809	8.3856879	1.12e+01	8.388551	2.0628512	NA	7.264320694	9.135656518	3.9157169	15.1864029660889	6.799094198782717
NDFIP1	-6.028668	-1.5233306	1.4725656	-2.2101737	-1.318432	2.6738936	3.575802	NA	-9.5583151	2.13	-2.612725	-0.0854902	-4.98	0.0704806	0.1269706	-1.713236	-0.500225362	-2.330658498	0.7216594	-4.82434602032512	-1.416538351596059
ADCY4	6.027132	5.0010887	0.4251615	NA	-1.130799	2.9811093	1.1904512	NA	1.9923996	1.08	7.62519	2.0654343	6.69	2.0578791	NA	-1.014115	2.956860517	2.244662807	1.4963398	9.44964423571502	3.008143474100884
DDIT3	6.020974	4.9140248	4.3091989	0.1016505	NA	1.0843036	1.7709775	NA	2.332582	3.35	4.533072	3.7580675	8.88	3.7327157	0.9320543	NA	3.278969014	5.495293146	1.7098322	7.48564313950702	3.7464328411474717
RPS28	-6.017218	-4.5528391	-2.0240579	-4.179021	NA	-3.13737	-2.1184115	-5.969836	-3.5955381	5.81e-01	-7.856868	-2.0352903	-6.14	-2.0372415	-3.176351	NA	-1.496763564	-0.812754267	NA	-6.3716193889428	-3.584716448231929
PITPNC1	-6.013454	-3.1715627	-2.4740407	-4.1667243	-2.61499	-2.2070558	-3.2646846	-4.966282	-8.2760872	2.37	-4.941915	-3.6714984	-7.52	-3.6304653	-5.2478646	-3.058124	-3.558202233	-4.015913284	-2.0391963	-6.86191884356844	-3.966498963028422
EIF3L	-6.005545	-8.578744	-3.0291526	-3.7150206	NA	-1.4819203	-3.6600631	NA	-9.1559462	-1.59	-9.71947	-4.6500189	-1.15e+01	-4.5598209	-6.5616815	NA	-4.319503453	-4.181723914	-2.0078075	-12.6552222748086	-5.727743543635801
TSPYL1	-5.998664	-3.7842515	-2.5831284	-3.9540825	NA	2.0225028	1.992571	NA	-7.5157205	-2.06e-02	-8.063131	-0.7656099	-6.38	-0.9477944	-3.0494568	NA	-1.056062067	-0.187423847	-0.8932896	-3.96205095829504	-2.6556583336644146
TNK2	5.974158	3.4857381	-2.699146	-3.7115954	NA	5.5500639	1.9151743	0.303755	3.7637356	2.07	5.453712	1.5901025	5.68	1.4867397	5.1302522	NA	2.256091129	-0.35713086	1.528584	7.57388865361975	2.6107846012566527
GPAT2	5.964271	1.9205172	-0.8400011	NA	0.819015	0.5015913	2.6274557	NA	-2.6766377	NA	NA	-0.2592666	1.00	-0.2118117	NA	-0.39539	0.879287741	0.963740387	0.0666182	1.78657084563611	0.809730684909074
IFI35	5.949418	11.126037	3.2664731	5.2550835	NA	2.773139	1.5977001	6.878849	9.2184444	7.78	12.034957	7.8023778	1.03e+01	7.7999421	4.7942149	NA	5.835942487	9.333696487	3.3057138	18.9726754115819	7.445814671421216
RPLP1	-5.943608	-1.875302	-2.3417512	0.3232325	0.284961	-2.00911	2.2784005	-3.295306	2.2994587	1.01	-8.600277	-2.1309726	-7.50	-2.084754	-5.4550229	-0.147925	-2.528583031	-0.452356291	NA	-3.77988411231048	-2.207831549174236
EEF1G	-5.940595	-6.3721187	NA	NA	NA	NA	-1.90764	-2.873021	NA	1.81	NA	-3.5605123	-9.53	-3.4688992	NA	NA	-3.462116597	0.363019939	-1.7860826	-11.0554330264184	-3.981949873701534
PIK3R1	-5.890305	-5.8051386	-1.7793897	-4.7135685	NA	-4.873113	3.6749742	NA	8.9040898	2.92	-5.791136	-0.7860104	-7.47	-0.8075226	-6.2614301	NA	-0.565709787	6.767998178	-0.0666136	-6.53126123285354	-1.7102433142266786
EEF1B2	-5.885095	0.8217191	-1.1471588	NA	NA	-2.7964896	-3.8572527	-1.889632	NA	4.73	-12.928013	-3.6565312	-8.71	-3.4768981	NA	NA	NA	NA	0.3119431	-8.35179499284419	-3.6027079379110916
DDX58	5.862209	11.9764633	4.880874	3.2250315	2.1313	3.9082654	3.4323483	NA	8.6155817	7.01	12.586806	6.8364538	1.06e+01	6.5329913	3.1100553	3.903017	6.750798835	9.514887414	4.2725166	17.8808401936626	7.001602086455926
EDEM2	5.852914	3.5928544	5.0573967	0.7349264	NA	-4.8572094	-2.3633398	NA	9.9610906	2.13	0.92322	0.5523982	4.46	0.2136576	2.1622225	NA	3.383385968	9.706760727	0.9669255	4.32961323228844	2.7533421545463788
AKR1D1	5.842734	1.564217	0.4741934	-2.2485931	NA	3.1697749	-3.7786612	NA	-0.78357	-1.73	NA	-1.183024	3.14	-1.4515828	0.0582911	NA	-0.704023989	0.242358693	0.6020051	3.56660816086926	0.4237954540543287
MOAP1	-5.824964	-4.0895175	-3.2244354	-3.2575401	NA	1.6280371	-1.8092368	-0.581505	-6.1001659	1.83	-6.821112	-3.3976233	-7.36	-3.2757028	-3.1550341	NA	-1.771612185	1.241408969	-2.1212214	-8.99939300505961	-3.1716454122810895
DBN1	5.824459	4.6933042	1.832654	1.0052621	NA	4.3291007	4.9492572	-0.214959	2.719728	-1.10	3.752708	0.6798044	4.28	0.8600708	2.3861449	NA	-0.475830909	0.101240646	-1.2152004	4.12075458614737	2.140472123508187
APBB3	5.823569	3.1120533	0.2371143	NA	NA	5.626454	-1.937451	-3.154422	NA	-4.28	1.522727	-2.7450191	4.01	-2.8767998	NA	NA	2.65936214	0.835831625	-0.5644081	3.13777387894226	0.7604523495961506
GSDMB	5.719055	0.3983506	-2.4302458	-3.0227625	-1.161494	2.3403582	-5.9495268	NA	4.8516861	1.88	1.636164	-3.0558872	2.70	-3.2863758	-2.7100566	-1.07458	-1.514344984	-2.865600873	0.3279985	1.51900239268359	-0.29990840864823215
TRIM21	5.716023	5.8401184	4.6946324	0.4437556	NA	2.8343629	2.5845026	3.644278	3.1000306	3.75	9.664417	6.4136414	7.64	6.2020686	3.6780122	NA	5.426474869	10.8315077	1.8314282	15.0370048673606	5.518458796464478
ARL16	5.710366	1.1922828	-1.8584732	NA	-0.202203	2.8799223	-6.5917986	NA	-1.2966537	2.00	-2.588984	1.6965122	-2.19	1.8074294	NA	-1.302106	-0.783276281	2.54376919	-2.9312515	3.64360329870468	0.10171405339439296
ADRA1D	5.7072	2.3509068	-1.7370447	-3.2059652	NA	2.2386419	4.476846	3.163464	2.9289215	5.95	-5.534687	1.7689761	NA	1.7987236	1.872539	NA	-0.163794682	1.902266663	-1.1281505	0.513800879223736	1.347214374130808
PSMB9	5.702445	7.8633678	2.7740932	3.7901218	NA	4.4388884	2.0989576	5.938331	1.8291595	4.65	NA	3.8923745	6.92	3.9390063	4.3346493	NA	4.632165338	12.57164066	1.6159014	8.98561909206728	5.0574541700039575
GBP1	5.693525	8.962532	3.4767399	3.1500322	1.644184	3.1931745	2.6616971	NA	12.2842004	8.22	11.336045	8.4109217	9.48	8.3053198	1.7370853	2.467324	5.826937145	9.08186581	4.6512251	13.1016561806143	6.509708691348122
REM2	5.672853	4.502099	4.1256233	NA	0.215919	4.3278757	2.8079533	NA	0.9666819	2.69	6.63479	2.3142731	8.16	2.143222	NA	1.674921	1.505325191	2.0826572	2.5057812	6.7467420446733	3.475100996216076
RPL7	-5.644666	3.0058473	1.7498758	-1.2814739	0.540424	-2.1632047	-1.2619481	-2.293418	-3.0292466	1.33	-12.795719	-3.0891012	-6.89	-2.8290833	-7.7285779	2.015023	-4.014185033	-3.638892811	1.6185404	-5.97193224184802	-2.6185869142924005
STAT2	5.634245	8.0336926	2.9816253	1.785223	2.301593	4.7854534	3.9623828	-2.287985	6.1237694	7.37	9.098163	5.0455605	8.18	4.9001413	1.8672526	3.559757	5.696965337	9.150244952	3.9613707	15.8358634328548	5.39926591609274
RPL6	-5.633855	0.6314164	-0.313536	-0.4659436	-1.760549	-2.0412188	4.2801063	-3.158891	-2.9893931	4.89	-9.39171	-2.7480014	-9.54	-2.4939765	-6.1575596	-5.666184	-3.002621627	-1.927079446	0.8449614	-8.13861386501587	-2.7391324419007934
PITPNM1	-5.63168	1.1491054	-4.5510903	-1.5452071	NA	-2.1914631	-0.4280282	0.21296	2.7146869	2.79	-4.732879	-1.2518756	-5.92	-1.4262597	-3.671383	NA	-1.068402125	-8.078436851	-3.4972304	-3.9141358570274	-2.2800732740570777
NACA	-5.629077	-3.3178554	-3.3294947	-1.7551038	NA	-7.9544461	1.5310419	-0.009295	-7.1028408	-2.91	-0.97306	-2.8577524	-6.96	-2.7343012	-7.8741836	NA	-3.59459686	-2.395856841	-3.1654702	-6.23562493611895	-3.7371064965066085
ABCB1	-5.610264	-5.9436121	-1.5268056	-5.4557596	-2.141694	-8.0319981	-1.0965803	NA	-7.4941787	-5.83e-01	-11.26113	-6.668749	-1.12e+01	-6.6941427	-4.4081467	-1.144536	-4.710982438	-4.395980678	-3.6096411	-10.6707796803705	-5.402525299808974
CA5B	-5.603082	-1.4564197	0.9774733	-1.1663204	NA	1.8584297	0.0121962	0.187087	-4.6000407	1.53	-4.803031	-1.1661838	-6.62	-0.7498964	-1.5053727	NA	-0.430259287	-2.761109917	-2.8240391	-6.03424198319557	-1.9530450437330868
UBE2L6	5.601975	7.3641977	3.2700414	4.3647717	NA	5.4170884	3.1751928	-1.666417	12.8679642	6.15	14.776906	6.8922586	1.05e+01	6.8426764	2.7388012	NA	6.597321232	9.576760463	3.4710011	12.0369865819171	6.665418098717617
GRIPAP1	5.600202	3.7634694	4.405261	NA	1.835562	-2.8880427	2.2488938	NA	9.0066306	-4.78e-01	8.437311	1.8350205	3.59	1.7473981	NA	2.644802	2.914431086	9.143621503	3.5610293	7.4373263590906	3.8120538792994467
TYMP	5.583469	6.9116842	4.7398543	3.4139649	NA	2.5665898	-3.3509196	NA	5.8155891	2.88	9.162307	6.3802057	1.02e+01	6.2911508	7.8084739	NA	5.497156102	6.023778176	1.7273699	13.0692734801494	5.571761574008788
NELL1	5.567914	2.4043991	0.8293866	-1.9841186	NA	3.4709195	3.7865549	0.464597	2.5394567	5.53	NA	-0.2723539	9.66e-01	-0.4512863	2.0093667	NA	-0.374569568	1.583027074	-0.7325459	1.4941763641879	1.578289627658112
LHFPL2	5.55556	5.7486043	4.6581315	1.2628506	NA	4.5524477	2.113998	NA	5.3642637	6.65	10.241185	5.22248	6.98	5.205292	4.3565316	NA	4.316689064	7.164632357	5.3195512	13.0210261192637	5.749014302368453
MYBPC3	5.553828	4.1029969	1.7147006	0.539916	NA	2.8587463	2.3570804	0.764311	1.3755081	2.27	4.11536	1.0434277	7.18	1.1284213	0.0682771	NA	0.387222867	1.510866474	2.2867695	5.54182923259954	2.488847859644418
RPL9	-5.541156	2.8679562	-3.977685	-0.5248295	-4.206479	1.7297879	-1.6465737	-1.252062	-5.3853891	-2.81	-11.629336	-2.2816609	-6.76	-1.9908739	-6.8933737	-6.927179	-5.360020564	-2.516406192	-0.4884356	-4.05336652994456	-3.482354129297228
