Gene	GSE1919	GSE55235	GSE55457	Average
MXI1	-4.706413	-5.9668048	1.5320847	-3.0470443666666664
ACKR1	-4.698036	-4.183175	-2.6111246	-3.8307785333333335
MMP1	4.69535	6.6998793	2.4126717	4.602633666666667
PSMB9	4.688993	5.1056723	4.1207809	4.638482066666667
ETHE1	4.68704	1.9556244	3.1809767	3.274547033333333
SPIB	4.682972	1.2042291	1.1456401	2.3442804
NREP	4.682176	9.9707892	1.8773531	5.510106100000001
MAN2B1	4.675323	6.2621015	1.8516661	4.263030199999999
PTTG1	4.659188	5.194729	3.5694069	4.4744413
CD37	4.655635	5.4202547	2.7596013	4.278497000000001
TRAF3IP3	4.649715	6.226553	3.9098558	4.928707933333333
NPR1	-4.636303	-2.572746	-2.3980675	-3.2023721666666667
PTGER3	-4.629763	2.758728	-3.0699222	-1.6469857333333333
CD33	4.614586	3.190941	1.361225	3.0555839999999996
BID	4.614384	2.9972137	2.7595702	3.457055966666667
AIF1	4.613344	8.292255	2.5826194	5.162739466666667
TCF7	4.612346	1.1466117	-1.4604729	1.4328282666666665
TXNIP	-4.610211	-3.2213976	-5.1582042	-4.3299376
PLEK	4.601791	5.5729057	2.2121752	4.1289573
TNFRSF11A	4.599302	3.3377479	0.0220049	2.6530182666666664
LDLR	-4.595199	-7.2669863	-4.1002684	-5.320817900000001
GZMA	4.587996	4.0937596	2.7311412	3.8042989333333335
VNN2	4.579333	0.7810593	0.0402097	1.8002006666666668
MSX2	4.569067	3.0499662	4.4856861	4.034906433333333
TGOLN2	4.567122	3.6645576	-1.7963458	2.1451112666666665
CRIP1	4.562666	7.8536548	1.8389075	4.751742766666667
PEX5	-4.555723	-5.1539346	-2.9574404	-4.222366
SELL	4.551126	5.8728847	1.2241638	3.882724833333333
TSPYL2	-4.547342	-5.751465	-1.5904334	-3.9630801333333334
HLA-DOA	4.547133	5.6128782	-2.1120227	2.682662833333333
PCNA	4.545413	3.1310958	2.054877	3.2437952666666665
FCGR3B	4.543156	4.7535067	-0.5712222	2.9084801666666666
CXCL12	4.53451	9.2951063	3.093003	5.6408731
ASNS	-4.531751	-2.7643475	-1.6438131	-2.979970533333333
TSC22D1	-4.516851	-4.6604222	0.9837702	-2.7311676666666664
ABLIM1	-4.513261	-7.5925101	-3.3211828	-5.142317966666667
HLA-F	4.511368	2.6232123	2.1005303	3.0783701999999997
FZD2	4.509645	3.1655238	3.4856098	3.7202595333333335
MIR7703///PSME2	4.508247	3.4249019	1.9105872	3.2812453666666666
FOXM1	4.508181	2.6686023	1.6023521	2.9263784666666672
COL3A1	4.504598	8.9532498	1.2051299	4.887659233333333
PLXNB2	4.503849	7.0278454	1.4541448	4.328613066666667
SLC25A1	-4.5031	-2.734344	-1.5943626	-2.9439355333333332
GNE	-4.490352	-4.3090036	-3.1943582	-3.9979045999999996
AZGP1	-4.483692	-1.4394441	-0.639764	-2.1876333666666667
PDE4A	-4.482504	-1.3718512	-2.4552312	-2.7698621333333335
SSRP1	-4.475386	-5.5002134	-1.7559258	-3.9105084
CD48	4.470187	4.8976892	2.8274024	4.065092866666667
IL23A	4.46887	0.3846742	4.8716884	3.2417442
GDF15	-4.466446	-5.2501778	-2.7393523	-4.151992033333333
LAMA2	-4.465263	-6.7195308	-2.0722308	-4.4190082
RAD23A	-4.450089	-1.3527594	-2.6775991	-2.8268158333333333
GINS1	4.449081	3.9137209	0.3623244	2.908375433333333
ADIPOR2	-4.438253	-1.8399772	-1.0839385	-2.454056233333333
GAP43	4.437225	6.3223648	4.7143619	5.1579839000000005
ACSL1	-4.435609	-2.0177101	-1.5992902	-2.6842031
OAS1	4.426771	7.0010872	0.8479339	4.0919307
FKBP5	-4.425417	-4.9885158	-6.5948174	-5.3362500666666675
INPP4A	4.424096	3.8746048	-4.0953412	1.4011198666666662
SLC39A14	-4.413672	-5.9072093	-0.5745796	-3.6318203
SDC1	4.408611	8.429559	3.1326211	5.323597033333333
HMGB2	-4.399126	-6.503919	0.6187413	-3.428101233333333
PTAFR	4.388313	4.4536846	1.1308622	3.3242865999999993
OSBPL3	4.38645	9.4925722	2.1086163	5.329212833333333
DDIT3	-4.385019	-5.3542605	-1.6677292	-3.802336233333333
GAL	-4.3826	-1.4819008	-0.8164948	-2.2269985333333335
CX3CL1	-4.381612	-4.2434499	0.1249578	-2.8333680333333326
BTN3A3	4.371929	7.0118305	3.5969148	4.9935581
ATP4B	4.361795	-0.0854576	0.4796877	1.5853417
OLFML1	4.36159	5.1018478	2.5286676	3.9973684666666665
CSF2RA	4.361136	4.4280182	2.1197976	3.636317266666667
NNAT	-4.354088	-0.5492463	-1.9834074	-2.2955805666666667
VGLL4	-4.349448	-5.2162004	-3.9905505	-4.518732966666667
FAP	4.348847	6.6836567	2.9437014	4.6587350333333335
SLCO2B1	4.345394	3.9855627	-4.3872581	1.3145661999999998
MAP1LC3B	-4.344547	-5.9410175	-1.4799329	-3.9218324666666664
CHD1L	4.335745	-0.7299759	2.4312782	2.0123491000000002
TPX2	4.329153	4.6823629	2.609529	3.8736816333333333
MMP7	-4.328447	-0.3160276	-1.0740494	-1.9061746666666666
IGFBP6	-4.327844	-3.9000694	-0.5115641	-2.9131591666666665
SLC31A1	4.323231	3.6325639	0.9914173	2.9824040666666662
GUCA1A	4.322255	3.5867022	1.9127292	3.273895466666666
DHCR7	-4.321591	-3.5078267	-1.7538598	-3.1944258333333333
CYR61	-4.32007	-10.0867099	-4.5657966	-6.324192166666666
CCL15-CCL14///CCL14	-4.320061	-2.8153434	-0.8460263	-2.6604769000000004
PIM1	-4.310974	-7.021778	-1.8184672	-4.383739733333333
SLC7A7	4.295227	6.2462745	2.6904548	4.410652099999999
MYH11	-4.292097	-4.0233421	-4.2918817	-4.202440266666667
RASGRP2	4.285997	3.0638546	-2.8084045	1.5138157
EPHB2	4.270643	10.7735259	2.0972805	5.713816466666667
HLA-DRB4	4.250601	1.6710278	-0.53575	1.7952929333333332
CD300C	4.235619	6.4488298	1.1819829	3.9554772333333332
PLA2G15	4.233572	4.0808483	0.4253144	2.9132449
AMPH	-4.23279	-4.0179006	-1.5573317	-3.2693407666666663
LTBP1	4.223005	2.336108	-2.8816161	1.2258323
LY86	4.212741	9.0492778	1.6867755	4.982931433333333
CHI3L1	-4.209785	-0.6559839	-0.9071275	-1.9242987999999999
HCG26	4.205456	2.8482481	-0.468715	2.1949963666666665
SEL1L3	4.200212	7.1276095	4.3924211	5.240080866666666
DNAJB1	-4.196026	-8.8222122	-2.8205088	-5.279582333333333
BMP5	-4.193726	-2.2196125	-1.3584223	-2.5905869333333333
PPT1	4.191547	5.0854676	2.1251895	3.8007347
SREBF1	-4.188791	-2.932054	0.0082061	-2.3708796333333333
SIT1	4.18442	2.2391465	2.4547429	2.9594364666666664
CSK	4.18249	9.6982126	-0.0176271	4.621025166666667
DHCR24	-4.179109	-3.6431644	0.2900585	-2.5107383000000003
IL2RB	4.17467	2.3729591	1.036932	2.5281870333333334
CYP2D6	-4.171031	1.4151669	-3.5136463	-2.0898368
MYC	-4.16623	-11.2325667	-4.7079106	-6.702235766666665
PLAUR	4.161734	2.3594291	-0.8846331	1.8788433333333332
FKBP4	-4.160709	-1.6434425	-2.9833808	-2.929177433333333
NCKAP1L	4.155341	6.309491	2.3252909	4.263374300000001
HCK	4.144263	6.3510261	0.0953394	3.5302095000000002
ADCY7	4.143506	6.7461567	3.0377578	4.6424735
EIF1	-4.142785	-8.5583533	-6.0990014	-6.266713233333333
TRAC///TRAJ17///TRAV20///TRDV2	4.136374	5.749696	3.3086411	4.398237033333333
NAGA	4.128791	6.5284802	2.7998152	4.485695466666667
TBC1D8	-4.128134	-5.6880529	-1.6618895	-3.826025466666666
TNFRSF25	4.124372	5.9984265	-2.8073195	2.438493
LPL	-4.102223	-2.1995559	-1.3395433	-2.5471074000000002
RER1	4.099596	2.7165687	2.8294668	3.2152105
YARS	-4.09416	-3.3197556	-0.522271	-2.645395533333333
CNR1	-4.091839	-6.1416864	-2.8649038	-4.366143066666667
LOC100509457///HLA-DQA1	4.089928	1.701517	0.7992644	2.196903133333333
TPM2	-4.083516	-2.9511952	-0.9887826	-2.6744979333333334
DDO	4.080685	2.1139054	0.8891304	2.3612402666666665
MNDA	4.078669	6.7648122	0.779865	3.8744487333333333
S100A8	4.078411	3.8921399	-1.6382054	2.1107818333333337
C1orf21	-4.077483	-4.2024733	-0.1030499	-2.7943354
FBLN2	-4.077414	-3.2715959	-0.8807867	-2.7432655333333336
CCR2	4.077341	6.1010687	2.8966702	4.358359966666666
PTPRJ	4.076583	2.6752283	-0.975054	1.9255857666666667
SOX13	-4.0706	-4.8646929	-2.2100384	-3.7151104333333334
MGAT5	4.067719	4.4340588	1.0011089	3.1676289
PCK1	-4.066337	-3.8909292	-0.9797764	-2.9790142
CD300A	4.061272	6.3524145	3.4177774	4.610487966666667
KLF4	-4.043919	-12.4231471	-3.9010137	-6.789359933333333
PHTF2	4.04384	6.2995062	0.8832728	3.7422063333333333
SPRY2	-4.042407	-7.9691827	-1.9187514	-4.6434470333333335
CRYAB	-4.039064	-3.0991689	-0.6582797	-2.598837533333333
PRKAR2B	-4.038246	-1.1736851	-0.3941595	-1.8686968666666666
SLC4A5///DCTN1	-4.038107	-0.8004458	0.3458848	-1.497556
WSB2	4.036204	4.5247566	1.4927276	3.3512294
CYP2C19	4.035611	2.3685967	0.1075573	2.1705883333333333
IFFO1	4.026996	4.7668655	0.81267	3.2021771666666665
DOK2	4.020392	9.3521139	1.6932863	5.021930733333334
DES	-4.010261	-1.4892296	-3.3087371	-2.9360759
SASH1	-4.008594	-7.1672688	-2.2523504	-4.476071066666667
SPRY1	-4.000884	-5.457885	-3.4958863	-4.3182184333333336
ZNF710	4.000847	6.3283133	-0.5535192	3.258547033333333
PNPLA2	-3.999706	-4.4655795	-3.6115839	-4.025623133333333
RERE	-3.989932	-4.1267894	-4.3735739	-4.163431766666666
TAC1	3.984789	1.9396292	1.2465585	2.3903255666666667
SNCG	-3.978647	-0.8809293	0.6501336	-1.4031475666666668
FCN1	3.971929	3.5814152	-0.232484	2.440286733333333
FABP4	-3.969825	-3.1478927	-0.9013342	-2.6730173
INHBB	-3.966109	-5.0154568	-2.9846902	-3.9887520000000003
IL2RG	3.963943	4.24564	2.3513561	3.5203130333333337
KIF11	3.957725	5.5333735	3.7273547	4.406151066666666
DPY19L1	3.956305	1.471922	-1.820717	1.2025033333333333
CLP1	3.951425	1.5887303	3.2590011	2.9330521333333337
ARHGAP4	3.941964	3.5048432	1.4706683	2.9724918333333332
P2RX5	3.93875	3.5226966	2.1379738	3.1998067999999997
SERPINA5	-3.935609	-2.0782604	-0.4300431	-2.1479708333333334
SP110	3.93439	2.6185111	-1.4108538	1.7140157666666667
ZAP70	3.932893	1.6927431	1.4239181	2.3498514
PTPN6	3.91583	7.782982	1.817258	4.505356666666667
VAV1	3.91567	6.276454	3.1343374	4.4421538
MX2	3.914096	4.5430049	1.9468284	3.4679764333333334
AATF	-3.907569	-2.6556889	-0.9548474	-2.5060351
FZD1	3.896566	3.8350799	4.7405361	4.157394
SASH3	3.894767	3.0942055	1.8417439	2.9435721333333333
DNASE1L1	3.887416	4.098557	0.4692831	2.8184187
STXBP1	-3.882941	-3.9285593	-1.3226845	-3.0447282666666666
SUN2	-3.881626	-5.6220447	-1.1527121	-3.5521276000000004
SOCS6	3.880551	3.960303	-0.3497143	2.497046566666667
FOLR2	3.879676	6.4141248	0.9151342	3.736311666666667
SLC24A1	3.877812	1.303293	-2.9126015	0.7561678333333335
PPID	3.877317	3.5811658	3.472629	3.643703933333333
SYK	3.876997	6.1833455	3.034676	4.365006166666666
FPR3	3.868694	4.6246062	0.9689752	3.1540918
TGFA	-3.860926	2.2618529	-2.0826105	-1.2272278666666667
PTPN7	3.86082	2.9322105	3.9627244	3.5852516333333333
CKAP2///IGLC1	3.849835	5.1830951	2.0794504	3.7041268333333335
HLA-DOB	3.849686	3.5560483	3.675712	3.693815433333333
SEPT6	3.848693	6.7196391	3.6647521	4.7443614
ATP1A1	-3.848252	-4.0042555	-0.4041669	-2.7522248
ITGA7	-3.845986	-2.063216	-4.2710237	-3.393408566666667
ADRA2C	-3.845315	-1.7866048	-0.3519961	-1.9946386333333335
FIG4	3.842413	4.5310015	3.3120226	3.8951457000000005
PIR-FIGF///FIGF	-3.840271	-4.931372	-2.9142414	-3.8952948
SYN2	-3.839334	-1.8044796	-1.0430652	-2.2289596
RAB8A	3.837224	3.1771733	4.4030703	3.805822533333334
CPVL	3.836045	5.4748499	2.5594437	3.9567795333333335
AMPD3	3.832197	2.1070805	2.119272	2.6861831666666665
LMAN1	3.83184	2.4750363	0.212607	2.1731611
BRD1	3.831655	-1.2800443	-2.6321352	-0.02684149999999989
MAST2	-3.831207	-0.8968173	-6.0494348	-3.5924863666666673
SORBS3	-3.826623	-1.8722142	-3.8352161	-3.1780177666666667
SORBS1	-3.81548	-4.4153884	-3.6654684	-3.9654456000000002
NMI	3.806311	4.414587	2.1789084	3.4666021333333332
HMGN1	3.805744	2.9009261	-0.7829802	1.9745633
VOPP1	3.803479	6.6039013	4.2619063	4.8897622
ZBTB7A	-3.801469	-1.8483341	-2.6341968	-2.7613333
BRD2	-3.800355	-5.2274539	-4.5720667	-4.533291866666667
GGT5	-3.799402	-3.9519807	0.2995839	-2.4839329333333335
AKR1C3	-3.799283	0.2526233	0.3049532	-1.0805688333333334
GYG2	-3.79902	-0.9430742	0.4000885	-1.4473352333333336
BAK1	3.796044	2.56135	-0.4531947	1.9680664333333333
CYFIP1	3.795419	4.8462766	0.0988435	2.913513033333333
MT2A	-3.788409	-4.7217899	-2.9749536	-3.8283841666666674
PAQR4	3.787498	2.0997785	2.1604846	2.6825870333333337
JUN	-3.781104	-6.7555108	-6.4050624	-5.647225733333333
ITGA5	-3.778802	-3.8014773	-2.8401989	-3.473492733333334
DAAM2	-3.773595	-6.3057073	-0.6033337	-3.560878666666667
PRSS23	3.773491	7.8303597	2.2973656	4.633738766666666
TNF	-3.770904	-2.913062	1.4939442	-1.7300072666666668
LMO4	3.76493	2.9555699	1.4637692	2.7280897
LRMP	3.763831	6.3385985	3.4836586	4.5286960333333335
PTPRC	3.763354	7.4318848	2.844467	4.679901933333333
NOP16	-3.761885	-3.9627916	-2.3160471	-3.3469079
CCNB1	3.759328	1.3493041	3.2716886	2.793440233333333
GNLY	3.754821	2.2005999	1.9560315	2.6371508
NUCB2	3.753151	3.5344821	1.2906746	2.8594359
ADAMTS2	3.750293	2.9345421	-1.2112985	1.8245122
USP9X	3.746118	4.3372844	1.3379712	3.140457866666667
TXK	3.745755	0.111804	1.7494134	1.8689908
PAPSS1	3.741002	4.7392017	4.0650449	4.181749533333334
GPR19	3.739382	1.1993372	2.4406086	2.4597759333333333
ACVR1B	-3.735971	-6.1608557	-3.7584879	-4.5517715333333335
BRCA2	3.73476	1.2164054	1.2665771	2.0725808333333333
TCN2	3.73198	2.0576786	-1.8458327	1.3146086333333333
